source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,75705.473,1000,francs,1854,egypte (alexandrie),monde,exp,?,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,47556.293,1000,francs,1854,egypte (alexandrie),monde,imp,?,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,114770.584,1000,francs,1855,egypte (alexandrie),monde,exp,?,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,53531.302,1000,francs,1855,egypte (alexandrie),monde,imp,?,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,22607.224,1000,francs,1855,egypte (alexandrie),"angleterre, malte",imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,4967.449,1000,francs,1855,egypte (alexandrie),autriche (empire),imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,201.059,1000,francs,1855,egypte (alexandrie),belgique,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,4437.562,1000,francs,1855,egypte (alexandrie),france,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,739.232,1000,francs,1855,egypte (alexandrie),grèce,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,2431.187,1000,francs,1855,egypte (alexandrie),toscane,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,9155.711,1000,francs,1855,egypte (alexandrie),turquie,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,5971.481,1000,francs,1855,egypte (alexandrie),syrie,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,2945.704,1000,francs,1855,egypte (alexandrie),etats barbaresques,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,74.693,1000,francs,1855,egypte (alexandrie),sardaigne,imp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,64016.295,1000,francs,1855,egypte (alexandrie),"angleterre, malte",exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,1408.727,1000,francs,1855,egypte (alexandrie),iles ioniennes,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,11019.06,1000,francs,1855,egypte (alexandrie),autriche (empire),exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,84.702,1000,francs,1855,egypte (alexandrie),belgique,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,12760.862,1000,francs,1855,egypte (alexandrie),france,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,998.323,1000,francs,1855,egypte (alexandrie),grèce,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,9652.918,1000,francs,1855,egypte (alexandrie),toscane,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,11313.344,1000,francs,1855,egypte (alexandrie),turquie,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,1403.864,1000,francs,1855,egypte (alexandrie),syrie,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,960.655,1000,francs,1855,egypte (alexandrie),etats barbaresques,exp,?,,sea,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Egypte_Fc9,1151.834,1000,francs,1855,egypte (alexandrie),sardaigne,exp,?,,sea,,,,
