source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,13000.0,1000,francs,1848,gibraltar,espagne et possessions,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,5000.0,1000,francs,1848,gibraltar,maroc,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,4000.0,1000,francs,1848,gibraltar,angleterre et possessions,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,1200.0,1000,francs,1848,gibraltar,etats-unis,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,1675.0,1000,francs,1848,gibraltar,france et algérie,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,1500.0,1000,francs,1848,gibraltar,etats sardes,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,1000.0,1000,francs,1848,gibraltar,portugal,exp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,28375.0,1000,francs,1848,gibraltar,monde,exp,gen,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,22000.0,1000,francs,1848,gibraltar,angleterre et possessions,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,4500.0,1000,francs,1848,gibraltar,etats-unis,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,3500.0,1000,francs,1848,gibraltar,espagne et possessions,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,3165.0,1000,francs,1848,gibraltar,france et algérie,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,2000.0,1000,francs,1848,gibraltar,maroc,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,1200.0,1000,francs,1848,gibraltar,etats sardes,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,600.0,1000,francs,1848,gibraltar,portugal,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,300.0,1000,francs,1848,gibraltar,pays-bas,imp,gen,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Gibraltar_Fc2,38765.0,1000,francs,1848,gibraltar,monde,imp,gen,,,,,total_reporting,
