source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,7022.0,1000,francs,1858,haïti (6 ports),angleterre et possessions,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,605.0,1000,francs,1858,haïti (6 ports),belgique,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,204.0,1000,francs,1858,haïti (6 ports),danemark et possessions,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,11861.0,1000,francs,1858,haïti (6 ports),etats-unis,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,9498.0,1000,francs,1858,haïti (6 ports),france,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,1640.0,1000,francs,1858,haïti (6 ports),villes anséatiques,exp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,32286.0,1000,francs,1858,haïti (6 ports),monde,exp,?,,,,,total_reporting,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,3926.0,1000,francs,1858,haïti (6 ports),angleterre et possessions,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,129.0,1000,francs,1858,haïti (6 ports),belgique,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,11035.0,1000,francs,1858,haïti (6 ports),etats-unis,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,2641.0,1000,francs,1858,haïti (6 ports),france,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,921.0,1000,francs,1858,haïti (6 ports),saint-thomas,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,1063.0,1000,francs,1858,haïti (6 ports),villes anséatiques,imp,?,,,,,,
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Haïti_Fc5,19791.0,1000,francs,1858,haïti (6 ports),monde,imp,?,,,,,total_reporting,
