source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,77848301.0,1,florins,1858,indes orientales néerlandaises (java et madura),pays-bas,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,598164.0,1,florins,1858,indes orientales néerlandaises (java et madura),angleterre,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,3191088.0,1,florins,1858,indes orientales néerlandaises (java et madura),france,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,798922.0,1,florins,1858,indes orientales néerlandaises (java et madura),suède,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,86165.0,1,florins,1858,indes orientales néerlandaises (java et madura),danemark,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,79465.0,1,florins,1858,indes orientales néerlandaises (java et madura),hambourg,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,47152.0,1,florins,1858,indes orientales néerlandaises (java et madura),brême,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,261143.0,1,florins,1858,indes orientales néerlandaises (java et madura),maurice,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,859706.0,1,florins,1858,indes orientales néerlandaises (java et madura),amérique,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,93530.0,1,florins,1858,indes orientales néerlandaises (java et madura),cap bonne espérance,exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,133773.0,1,florins,1858,indes orientales néerlandaises (java et madura),"bengale, ceylan",exp,?,NS,,,,,1 florin = 2.12 francs
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_IndesOrientalesNéerlandaises_Fc11,705009.0,1,florins,1858,indes orientales néerlandaises (java et madura),golfe persique,exp,?,NS,,,,,1 florin = 2.12 francs
