source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,14000.0,1000,francs,1847,toscane (livourne),angleterre,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,1200.0,1000,francs,1847,toscane (livourne),russie,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,10000.0,1000,francs,1847,toscane (livourne),france,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,700.0,1000,francs,1847,toscane (livourne),allemagne,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2700.0,1000,francs,1847,toscane (livourne),etats romains,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2200.0,1000,francs,1847,toscane (livourne),autriche,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,3000.0,1000,francs,1847,toscane (livourne),turquie et etats barbaresques,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,1500.0,1000,francs,1847,toscane (livourne),etats sardes,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,500.0,1000,francs,1847,toscane (livourne),suisse,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,47500.0,1000,francs,1847,toscane (livourne),totaux,exp,?,,,,,total_reporting,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,20000.0,1000,francs,1847,toscane (livourne),angleterre,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,26000.0,1000,francs,1847,toscane (livourne),russie,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,11200.0,1000,francs,1847,toscane (livourne),france,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,5000.0,1000,francs,1847,toscane (livourne),allemagne,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2500.0,1000,francs,1847,toscane (livourne),etats romains,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2500.0,1000,francs,1847,toscane (livourne),autriche,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,5300.0,1000,francs,1847,toscane (livourne),turquie et etats barbaresques,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,1500.0,1000,francs,1847,toscane (livourne),etats sardes,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,4000.0,1000,francs,1847,toscane (livourne),suisse,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,98500.0,1000,francs,1847,toscane (livourne),totaux,imp,?,,,,,total_reporting,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,16500.0,1000,francs,1848,toscane (livourne),angleterre,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,900.0,1000,francs,1848,toscane (livourne),russie,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,6200.0,1000,francs,1848,toscane (livourne),france,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,800.0,1000,francs,1848,toscane (livourne),allemagne,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,3000.0,1000,francs,1848,toscane (livourne),etats romains,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2000.0,1000,francs,1848,toscane (livourne),autriche,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,2900.0,1000,francs,1848,toscane (livourne),turquie et etats barbaresques,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,1500.0,1000,francs,1848,toscane (livourne),etats sardes,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,400.0,1000,francs,1848,toscane (livourne),suisse,exp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,44400.0,1000,francs,1848,toscane (livourne),totaux,exp,?,,,,,total_reporting,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,18500.0,1000,francs,1848,toscane (livourne),angleterre,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,20300.0,1000,francs,1848,toscane (livourne),russie,imp,?,,,,,,1844-1862.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_ItalieToscane_Fc4,4000.0,1000,francs,1848,toscane (livourne),france,imp,?,,,,,,1844-1862.
