source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,35286930,1,franc,1865,argentine,belgique,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,25795140,1,franc,1865,argentine,france,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,24204755,1,franc,1865,argentine,etats-unis,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,12186510,1,franc,1865,argentine,grande-bretagne,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,3863555,1,franc,1865,argentine,italie,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,5092305,1,franc,1865,argentine,espagne (péninsule + ile de cuba),exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,1803515,1,franc,1865,argentine,brésil,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,488665,1,franc,1865,argentine,uruguay,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,260080,1,franc,1865,argentine,chili et inde,exp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,109983885,1,franc,1865,argentine,monde,exp,total,S,,,,total_reporting,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,50041275,1,franc,1865,argentine,angleterre,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,41699775,1,franc,1865,argentine,france,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,14819038,1,franc,1865,argentine,brésil,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,10087988,1,franc,1865,argentine,etats-unis,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,10615482,1,franc,1865,argentine,espagne et possessions,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,7882950,1,franc,1865,argentine,italie,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,7536606,1,franc,1865,argentine,uruguay,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,6921056,1,franc,1865,argentine,allemagne,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_LaPlata_Fc9,4955394,1,franc,1865,argentine,hollande,imp,total,S,,,,,"Données annuelles ventilées disponibles pour 1868, 1869 et 1871"
