source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,4828350.0,1,piastres*,1872,uruguay,angleterre,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,2729125.0,1,piastres,1872,uruguay,france,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,1462507.0,1,piastres,1872,uruguay,brésil,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,1210488.0,1,piastres,1872,uruguay,belgique,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,1502956.0,1,piastres,1872,uruguay,etats-unis,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,787448.0,1,piastres,1872,uruguay,ile de cuba,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,39612.0,1,piastres,1872,uruguay,espagne,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,461941.0,1,piastres,1872,uruguay,italie,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,705176.0,1,piastres,1872,uruguay,allemagne,exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
AnnalesDuCommerceExtérieurFaitsCommerciaux3eSérieAvisDivers_Uruguay_Fc6,546694.0,1,piastres,1872,uruguay,argentine (république d'),exp,spe,NS,,,,,*Une piastre = 5 fr. 36 c.
