source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,29760229,1,yen,1926,taiwan,china,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,1262237,1,yen,1926,taiwan,kwantung province,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,4458227,1,yen,1926,taiwan,hongkong,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,3641,1,yen,1926,taiwan,british india,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,575492,1,yen,1926,taiwan,british straits settlement & british borneo,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,4021834,1,yen,1926,taiwan,dutch india,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,158497,1,yen,1926,taiwan,french indo-china,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,183748,1,yen,1926,taiwan,asiatic russia,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,374719,1,yen,1926,taiwan,philippine islands,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,874378,1,yen,1926,taiwan,siam,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,965728,1,yen,1926,taiwan,great britain,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,234488,1,yen,1926,taiwan,france,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,133471,1,yen,1926,taiwan,germany,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,5045,1,yen,1926,taiwan,denmark,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,6241191,1,yen,1926,taiwan,united states of america,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,3102,1,yen,1926,taiwan,british america,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,118,1,yen,1926,taiwan,peru,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,4580,1,yen,1926,taiwan,other,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,54260,1,yen,1926,taiwan,australia,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,22,1,yen,1926,taiwan,hawaii,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,480,1,yen,1926,taiwan,other countries,exp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,49315487,1,yen,1926,taiwan,grand total,exp,,,,,,total_reporting,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,27217476,1,yen,1926,taiwan,china,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,2032751,1,yen,1926,taiwan,kwantung province,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,46480,1,yen,1926,taiwan,hongkong,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,10572930,1,yen,1926,taiwan,british india,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,429165,1,yen,1926,taiwan,british straits settlement & british borneo,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,4109807,1,yen,1926,taiwan,dutch india,imp,,,,,,,
AnnualReturnOfTheTradeOfTaiwanFormosa_1926_12,688759,1,yen,1926,taiwan,french indo-china,imp,,,,,,,
