source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,15094381.0,1,livres,1874,united kingdom,"russia, northern ports",imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,5839010.0,1,livres,1874,united kingdom,"russia, southern ports",imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,8483552.0,1,livres,1874,united kingdom,sweden,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,2909995.0,1,livres,1874,united kingdom,norway,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,3890492.0,1,livres,1874,united kingdom,denmark,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,58231.0,1,livres,1874,united kingdom,danish west india islands,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,19947195.0,1,livres,1874,united kingdom,germanay,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,14464158.0,1,livres,1874,united kingdom,holland,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,dutch possessions on the gold coast (holland),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,1311939.0,1,livres,1874,united kingdom,java (holland),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,other possessions in the indian seas (holland),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,21980.0,1,livres,1874,united kingdom,dutch west india islands (holland),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,139393.0,1,livres,1874,united kingdom,dutch guiana (holland),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,15048865.0,1,livres,1874,united kingdom,belgium,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,46518571.0,1,livres,1874,united kingdom,france,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,517144.0,1,livres,1874,united kingdom,algeria (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,french possessions in senegambia (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,28511.0,1,livres,1874,united kingdom,bourbon (reunion) (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,12131.0,1,livres,1874,united kingdom,french possessions in india (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,french possessions in north america (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,145894.0,1,livres,1874,united kingdom,french west india islands (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,french guiana (france),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,4265032.0,1,livres,1874,united kingdom,portugal,imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,346603.0,1,livres,1874,united kingdom,azores (portugal),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,71656.0,1,livres,1874,united kingdom,madeira (portugal),imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,121646.0,1,livres,1874,united kingdom,"portuguese possessions, western africa (portugal)",imp,gen,,,,,,
AnnualStatementOfTheTradeOfTheUnitedKingdomWithForeignCountriesAndBritishCountries_1878,,1,livres,1874,united kingdom,"portuguese possessions,eastern africa (portugal)",imp,gen,,,,,,
