source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,261800,1,$ oro,1916,argentina,africa del sud,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,845785,1,$ oro,1916,argentina,bolivia,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,24498226,1,$ oro,1916,argentina,brasil,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,23632,1,$ oro,1916,argentina,canada,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,74899,1,$ oro,1916,argentina,cuba,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1541904,1,$ oro,1916,argentina,chile,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,6093959,1,$ oro,1916,argentina,dinamarca,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,913705,1,$ oro,1916,argentina,egipto,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,8563677,1,$ oro,1916,argentina,españa,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,113488289,1,$ oro,1916,argentina,estados unidos,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,64737625,1,$ oro,1916,argentina,francia,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,27148468,1,$ oro,1916,argentina,italia,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,3400,1,$ oro,1916,argentina,marruecos,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,30301,1,$ oro,1916,argentina,mejico,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,4128059,1,$ oro,1916,argentina,noruega,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,27491405,1,$ oro,1916,argentina,países bajos,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2836267,1,$ oro,1916,argentina,paraguay,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1360324,1,$ oro,1916,argentina,portugal,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2514575,1,$ oro,1916,argentina,posesiones francesas,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,790172,1,$ oro,1916,argentina,posesiones inglesas,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,159755301,1,$ oro,1916,argentina,reino unido,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2950182,1,$ oro,1916,argentina,rusia,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,10084346,1,$ oro,1916,argentina,suecia,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,152230,1,$ oro,1916,argentina,suiza,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,6639086,1,$ oro,1916,argentina,uruguay,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,75596240,1,$ oro,1916,argentina,ordenes y rancho,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,821982,1,$ oro,1916,argentina,otros paises,exp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,25826,1,$ oro,1916,argentina,africa del sud,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,7927,1,$ oro,1916,argentina,"africa, n.m.e.",imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,350879,1,$ oro,1916,argentina,alemania,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,10138,1,$ oro,1916,argentina,australia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,10095,1,$ oro,1916,argentina,austria-hungría,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,276461,1,$ oro,1916,argentina,bélgica,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,437575,1,$ oro,1916,argentina,bolivia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,11897683,1,$ oro,1916,argentina,brasil,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1126196,1,$ oro,1916,argentina,canada,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1323019,1,$ oro,1916,argentina,cuba,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,948470,1,$ oro,1916,argentina,chile,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,241282,1,$ oro,1916,argentina,china,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,414599,1,$ oro,1916,argentina,dinamarca,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,9810,1,$ oro,1916,argentina,ecuador,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1959,1,$ oro,1916,argentina,egipto,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,13477416,1,$ oro,1916,argentina,españa,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,63532368,1,$ oro,1916,argentina,estados unidos,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,14999061,1,$ oro,1916,argentina,francia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,8501,1,$ oro,1916,argentina,grecia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,21338031,1,$ oro,1916,argentina,italia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1182313,1,$ oro,1916,argentina,japon,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1829,1,$ oro,1916,argentina,marruecos,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,6519982,1,$ oro,1916,argentina,mejico,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,832258,1,$ oro,1916,argentina,noruega,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,1655,1,$ oro,1916,argentina,nueva zelandia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2207750,1,$ oro,1916,argentina,países bajos,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2067846,1,$ oro,1916,argentina,paraguay,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,5938,1,$ oro,1916,argentina,persia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,277617,1,$ oro,1916,argentina,peru,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,274122,1,$ oro,1916,argentina,portugal,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,4051,1,$ oro,1916,argentina,posesiones espanolas,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,8591,1,$ oro,1916,argentina,posesiones francesas,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,50104,1,$ oro,1916,argentina,posesiones holandesas,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,5649352,1,$ oro,1916,argentina,posesiones inglesas,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,912,1,$ oro,1916,argentina,posesiones norteamericanas,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,61284989,1,$ oro,1916,argentina,reino unido,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,10429,1,$ oro,1916,argentina,rusia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2099611,1,$ oro,1916,argentina,suecia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2018594,1,$ oro,1916,argentina,suiza,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,12531,1,$ oro,1916,argentina,turquia,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2458951,1,$ oro,1916,argentina,uruguay,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,2601,1,$ oro,1916,argentina,venezuela,imp,,,,,,,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,217409322,1,$ oro,1916,argentina,totales,imp,,,,,,total_reporting,
AnuarioDelComercioExteriorDeLaRepblicaArgentina_1916,543345839,1,$ oro,1916,argentina,totales,exp,,,,,,total_reporting,
