source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,952815.17,1,pesos fuertes,1883,costa rica,inglaterra,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,260822.98,1,pesos fuertes,1883,costa rica,francia,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,98961.34,1,pesos fuertes,1883,costa rica,alemania,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,5062.75,1,pesos fuertes,1883,costa rica,españa,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,741079.26,1,pesos fuertes,1883,costa rica,ee.uu. del norte,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,800,1,pesos fuertes,1883,costa rica,chile,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,10293.4,1,pesos fuertes,1883,costa rica,ecuador,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,5338.88,1,pesos fuertes,1883,costa rica,colombia,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,1162.3,1,pesos fuertes,1883,costa rica,méxico,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,89738.48,1,pesos fuertes,1883,costa rica,centro américa,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,2166074.56,1,pesos fuertes,1883,costa rica,total,imp,gen,,,,,total_reporting,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,1165218.36,1,pesos fuertes,1883,costa rica,inglaterra,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,263076.76,1,pesos fuertes,1883,costa rica,francia,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,263631,1,pesos fuertes,1883,costa rica,alemania,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,660830.39,1,pesos fuertes,1883,costa rica,ee.uu. del norte,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,3340,1,pesos fuertes,1883,costa rica,chile,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,68220.94,1,pesos fuertes,1883,costa rica,colombia,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,7318.3,1,pesos fuertes,1883,costa rica,centro américa,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,2431635.75,1,pesos fuertes,1883,costa rica,total,exp,gen,,,,,total_reporting,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,2024750.58,1,pesos fuertes,1884,costa rica,inglaterra,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,359064.19,1,pesos fuertes,1884,costa rica,francia,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,104982.09,1,pesos fuertes,1884,costa rica,alemania,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,11581.49,1,pesos fuertes,1884,costa rica,españa,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,574.82,1,pesos fuertes,1884,costa rica,italia,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,831.4,1,pesos fuertes,1884,costa rica,suiza,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,943764.83,1,pesos fuertes,1884,costa rica,ee.uu. del norte,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,29716.6,1,pesos fuertes,1884,costa rica,ecuador,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,11846.57,1,pesos fuertes,1884,costa rica,colombia,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,1010.15,1,pesos fuertes,1884,costa rica,méxico,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,33798.87,1,pesos fuertes,1884,costa rica,centro américa,imp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,3521921.59,1,pesos fuertes,1884,costa rica,total,imp,gen,,,,,total_reporting,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,1697605.51,1,pesos fuertes,1884,costa rica,inglaterra,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,541307.35,1,pesos fuertes,1884,costa rica,francia,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,441361.4,1,pesos fuertes,1884,costa rica,alemania,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,185683.2,1,pesos fuertes,1884,costa rica,españa,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,515,1,pesos fuertes,1884,costa rica,bélgica,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,1310297.55,1,pesos fuertes,1884,costa rica,ee.uu. del norte,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,4500,1,pesos fuertes,1884,costa rica,chile,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,35084.76,1,pesos fuertes,1884,costa rica,colombia,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,3262.24,1,pesos fuertes,1884,costa rica,centro américa,exp,gen,,,,,,
AnuarioEstadsticoRepblicaDeCostaRica_1885_129,4219617.01,1,pesos fuertes,1884,costa rica,total,exp,gen,,,,,total_reporting,
