source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,11114102,1,$ oro,1897,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,12571116,1,$ oro,1898,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,12979937,1,$ oro,1899,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,16635613,1,$ oro,1900,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,16724549,1,$ oro,1901,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,13229275,1,$ oro,1902,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,17009322,1,$ oro,1903,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,24926278,1,$ oro,1904,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,29083027,1,$ oro,1905,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,38416259,1,$ oro,1906,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,45811170,1,$ oro,1907,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,37847076,1,$ oro,1908,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,44555770,1,$ oro,1909,argentina,alemania,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,99782,1,$ oro,1902,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,774899,1,$ oro,1903,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,1261509,1,$ oro,1904,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,1370017,1,$ oro,1905,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,1723761,1,$ oro,1906,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,2394660,1,$ oro,1907,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,3293500,1,$ oro,1908,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,2966802,1,$ oro,1909,argentina,austria-hungría,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,8046254,1,$ oro,1897,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,9444981,1,$ oro,1898,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,9410479,1,$ oro,1899,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,8430880,1,$ oro,1900,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,8688657,1,$ oro,1901,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,5484233,1,$ oro,1902,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,5448872,1,$ oro,1903,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,9069123,1,$ oro,1904,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,8727076,1,$ oro,1905,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,12228040,1,$ oro,1906,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,15896950,1,$ oro,1907,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,12753373,1,$ oro,1908,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,13570074,1,$ oro,1909,argentina,bélgica,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,50260,1,$ oro,1897,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,57208,1,$ oro,1898,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,78385,1,$ oro,1899,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,122422,1,$ oro,1900,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,138732,1,$ oro,1901,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,122015,1,$ oro,1902,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,125458,1,$ oro,1903,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,108243,1,$ oro,1904,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,126273,1,$ oro,1905,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,134112,1,$ oro,1906,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,126877,1,$ oro,1907,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,156062,1,$ oro,1908,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,154799,1,$ oro,1909,argentina,bolivia,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,4761505,1,$ oro,1897,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,5012115,1,$ oro,1898,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,4806116,1,$ oro,1899,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,3741877,1,$ oro,1900,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,4386047,1,$ oro,1901,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,4583645,1,$ oro,1902,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,5350976,1,$ oro,1903,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,6032973,1,$ oro,1904,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,5328004,1,$ oro,1905,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,6641025,1,$ oro,1906,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,7849355,1,$ oro,1907,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,7285946,1,$ oro,1908,argentina,brasil,imp,,,,,,,
ArgentinaAnuarioDeLaDireccinGeneralDeEstadstica_1911_143183,8177805,1,$ oro,1909,argentina,brasil,imp,,,,,,,
