source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
BarbadosBlueBook_1897_W1,474622,1,£,1897,barbados,united kingdom,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,108835,1,£,1897,barbados,british north america,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,36558,1,£,1897,barbados,british west indies,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,21630,1,£,1897,barbados,british guiana,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,11411,1,£,1897,barbados,calcutta,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,4374,1,£,1897,barbados,cape of good hope,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,21,1,£,1897,barbados,ascension,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,0.5,1,£,1897,barbados,west coast africa,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,321908,1,£,1897,barbados,united states,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,11905,1,£,1897,barbados,foreign west indies,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,2658,1,£,1897,barbados,france,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,1541,1,£,1897,barbados,brazil,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,7202,1,£,1897,barbados,peru,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,39,1,£,1897,barbados,french guiana,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,1512,1,£,1897,barbados,dutch guiana,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,1093,1,£,1897,barbados,venezuela,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,84,1,£,1897,barbados,belgium,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,7,1,£,1897,barbados,madeira,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,8,1,£,1897,barbados,holland,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,25,1,£,1897,barbados,colombia,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,155,1,£,1897,barbados,denmark,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,240,1,£,1897,barbados,italy,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,23,1,£,1897,barbados,canary islands,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,1,1,£,1897,barbados,buenos ayres,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,2845,1,£,1897,barbados,cape verde islands,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,0.5,1,£,1897,barbados,germany,imp,gen,,,,,,
BarbadosBlueBook_1897_W1,1008699,1,£,1897,barbados,total,imp,gen,,,,,total_reporting,
BarbadosBlueBook_1897_W1,26515,1,£,1897,barbados,united kingdom,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,85757,1,£,1897,barbados,british north america,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,9025,1,£,1897,barbados,british west indies,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,5632,1,£,1897,barbados,british guiana,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,425909,1,£,1897,barbados,united states,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,1445,1,£,1897,barbados,foreign west indies,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,747,1,£,1897,barbados,french guiana,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,364,1,£,1897,barbados,dutch guiana,exp,spe,,,,,,
BarbadosBlueBook_1897_W1,555394,1,£,1897,barbados,total,exp,spe,,,,,total_reporting,
