source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,9315558,1,£,1929,nigeria,united kingdom,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,3823,1,£,1929,nigeria,canada,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,13169,1,£,1929,nigeria,india,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,122,1,£,1929,nigeria,gambia,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,139369,1,£,1929,nigeria,sierra leone,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,224591,1,£,1929,nigeria,gold coast,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,5,1,£,1929,nigeria,australia,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,311291,1,£,1929,nigeria,france,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,1005162,1,£,1929,nigeria,united states of america,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,485173,1,£,1929,nigeria,holland,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,1319860,1,£,1929,nigeria,germany,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,27,1,£,1929,nigeria,spain,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,128037,1,£,1929,nigeria,belgium,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,261,1,£,1929,nigeria,denmark,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,2747,1,£,1929,nigeria,portugal,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,31265,1,£,1929,nigeria,norway,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,1189,1,£,1929,nigeria,switzerland,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,174249,1,£,1929,nigeria,italy,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,1586,1,£,1929,nigeria,liberia,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,2691,1,£,1929,nigeria,sweden,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,1931,1,£,1929,nigeria,japan,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,27,1,£,1929,nigeria,austria,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,19153,1,£,1929,nigeria,duala,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,13493,1,£,1929,nigeria,french possessions,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,97,1,£,1929,nigeria,lome,imp,gen,NS,,,,,
BlueBookOfTheColonyAndProtectorateOfNigeria_1929_369370,7115,1,£,1929,nigeria,portuguese possessions,imp,gen,NS,,,,,
