source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
BritishGuianaBlueBook_19091910_W2,830821,1,£,1909,british guiana,united kingdom,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,138246,1,£,1909,british guiana,canada,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,23132,1,£,1909,british guiana,british west indies,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1206,1,£,1909,british guiana,bermuda,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,208,1,£,1909,british guiana,newfoundland,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,67949,1,£,1909,british guiana,british east indies,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,481254,1,£,1909,british guiana,united states of america,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,23129,1,£,1909,british guiana,germany,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,38268,1,£,1909,british guiana,holland,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1516,1,£,1909,british guiana,dutch guiana,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1122,1,£,1909,british guiana,french guiana,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,8,1,£,1909,british guiana,french west indies,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,6180,1,£,1909,british guiana,denmark,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,31330,1,£,1909,british guiana,france,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,15775,1,£,1909,british guiana,portuguese possessions,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,82,1,£,1909,british guiana,danish west indies,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,805,1,£,1909,british guiana,dutch west indies,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1133,1,£,1909,british guiana,venezuela,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,47416,1,£,1909,british guiana,other countries,imp,gen,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,846138,1,£,1909,british guiana,united kingdom,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,656301,1,£,1909,british guiana,canada,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,79014,1,£,1909,british guiana,british west indies,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,2222,1,£,1909,british guiana,bermuda,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,4615,1,£,1909,british guiana,newfoundland,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,192591,1,£,1909,british guiana,united states of america,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,10083,1,£,1909,british guiana,germany,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,13703,1,£,1909,british guiana,holland,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,9830,1,£,1909,british guiana,dutch guiana,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,3803,1,£,1909,british guiana,french guiana,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,718,1,£,1909,british guiana,french west indies,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,430,1,£,1909,british guiana,denmark,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1259,1,£,1909,british guiana,france,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,6134,1,£,1909,british guiana,portuguese possessions,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1494,1,£,1909,british guiana,danish west indies,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1531,1,£,1909,british guiana,dutch west indies,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,45,1,£,1909,british guiana,venezuela,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,10,1,£,1909,british guiana,mexico,exp,spe,,,Year beginning 1st April,,,
BritishGuianaBlueBook_19091910_W2,1774458,1,£,1909,british guiana,total,imp,gen,,,Year beginning 1st April,,total_reporting,
BritishGuianaBlueBook_19091910_W2,1829921,1,£,1909,british guiana,total,exp,spe,,,Year beginning 1st April,,total_reporting,
