source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,12582789,1,escudos ouro,1932,moçambique,total,imp,spe,S,,,,total_reporting,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,2203783,1,escudos ouro,1932,moçambique,portugal,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,336718,1,escudos ouro,1932,moçambique,possessóes portuguesas,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,907814,1,escudos ouro,1932,moçambique,alemania,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,698971,1,escudos ouro,1932,moçambique,e.u. da américa do norte,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,1575,1,escudos ouro,1932,moçambique,argentina,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,9759,1,escudos ouro,1932,moçambique,austria,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,152249,1,escudos ouro,1932,moçambique,bélgica e possessóes,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,7606,1,escudos ouro,1932,moçambique,brasil,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,20285,1,escudos ouro,1932,moçambique,checo-eslováquia,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,13144,1,escudos ouro,1932,moçambique,china,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,274,1,escudos ouro,1932,moçambique,cuba,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,9924,1,escudos ouro,1932,moçambique,dinamarca,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,9277,1,escudos ouro,1932,moçambique,egipto,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,2866,1,escudos ouro,1932,moçambique,espanha e possessóes,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,25336,1,escudos ouro,1932,moçambique,finlândia,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,127415,1,escudos ouro,1932,moçambique,frança e possessóes,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,2922983,1,escudos ouro,1932,moçambique,gran-bretanha,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,132819,1,escudos ouro,1932,moçambique,austrália,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,157117,1,escudos ouro,1932,moçambique,canadá,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,684028,1,escudos ouro,1932,moçambique,india-britânica,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,246668,1,escudos ouro,1932,moçambique,rodésias,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,1271,1,escudos ouro,1932,moçambique,suazilândia e zululândia,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,2511773,1,escudos ouro,1932,moçambique,união da áfrica do sul,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
ColniaDeMoambiqueEstatsticaDoComrcioExternoEDaNavegao_1935_89,26622,1,escudos ouro,1932,moçambique,zanzibar,imp,spe,S,,,,,Moçambique = Territórios sob a directa administração do Estado + Territórios de Manica e Sofala.
