source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_56,18769302,1,francs,1842,martinique,france,exp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_56,4143150,1,francs,1842,martinique,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_72,21434064,1,francs,1842,guadeloupe,france,exp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_72,3282425,1,francs,1842,guadeloupe,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_86,3446275,1,francs,1842,guyane française,france,exp,gen,,,,,,"Ces chiffres comprennent, indépendamment des marchandises étrangères extraites directement de l'étranger par navires français, celles de même origine qui proviennent des entrepôts de France, et qui forment la différence du commerce spécial et du commerce général dans les exportations de France pour la colonie. Les importations en marchandises étrangères, par navires français, se décomposent ainsi qu'il suit: Marchandises étrangères provenant des entrepôts de France 145331 f, Marchandises étrangères provenant de l'étranger (par navires français) 89721 f"
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_86,676922,1,francs,1842,guyane française,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_93,24872675,1,francs,1842,bourbon,france,exp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_93,4506620,1,francs,1842,bourbon,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_106,3029385,1,francs,1842,sénégal et dépendances,france,exp,gen,,,,,,"La valeur des importations en numéraire n'est pas comprise dans ce chiffre. On a constaté, pour 1842, une importation en numéraire de 382172 francs. Il n'y a pas eu de constatation à l'exportation de France."
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_106,3174055,1,francs,1842,sénégal et dépendances,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_120,3573665,1,francs,1842,etablissements français dans l'inde,france,exp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_120,1912769,1,francs,1842,etablissements français dans l'inde,etranger,imp,gen,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_56,15317956,1,francs,1842,martinique,france,imp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_56,9486,1,francs,1842,martinique,colonies françaises,exp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_56,235095,1,francs,1842,martinique,etranger,exp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_72,15197924,1,francs,1842,guadeloupe,france,imp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_72,10282,1,francs,1842,guadeloupe,colonies françaises,exp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_72,84998,1,francs,1842,guadeloupe,etranger,exp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_86,2780076,1,francs,1842,guyane française,france,imp,spe,,,,,,"Ces chiffres comprennent, indépendamment des marchandises étrangères extraites directement de l'étranger par navires français, celles de même origine qui proviennent des entrepôts de France, et qui forment la différence du commerce spécial et du commerce général dans les exportations de France pour la colonie. Les importations en marchandises étrangères, par navires français, se décomposent ainsi qu'il suit: Marchandises étrangères provenant des entrepôts de France 145331 f, Marchandises étrangères provenant de l'étranger (par navires français) 89721 f"
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_86,6786,1,francs,1842,guyane française,colonies françaises,exp,spe,,,,,,
ColoniesFranaisesTableauxDePopulationDeCultureDeCommerceEtDeNavigation_1842_86,208090,1,francs,1842,guyane française,etranger,exp,spe,,,,,,
