source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfAntiguaBlueBook_1853_167170,61823,1,sterling,1853,colony of antigua,great britain,imp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,21468,1,sterling,1853,colony of antigua,british west indies,imp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,4250,1,sterling,1853,colony of antigua,british north america,imp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,42704,1,sterling,1853,colony of antigua,united states,imp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,9852,1,sterling,1853,colony of antigua,other countries,imp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,140097,1,sterling,1853,colony of antigua,total,imp,gen,,,,,total_reporting,
ColonyOfAntiguaBlueBook_1853_167170,194137,1,sterling,1853,colony of antigua,great britain,exp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,271,1,sterling,1853,colony of antigua,british west indies,exp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,698,1,sterling,1853,colony of antigua,british north america,exp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,367,1,sterling,1853,colony of antigua,united states,exp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,214,1,sterling,1853,colony of antigua,other countries,exp,gen,,,,,,
ColonyOfAntiguaBlueBook_1853_167170,195687,1,sterling,1853,colony of antigua,total,exp,gen,,,,,total_reporting,
