source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfGrenadaBlueBook_1925_138139,145744,1,pound,1925,grenada,uk,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,103,1,pound,1925,grenada,anguilla,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,13,1,pound,1925,grenada,antigua,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,14,1,pound,1925,grenada,australia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,1,1,pound,1925,grenada,bahamas,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,13149,1,pound,1925,grenada,barbados,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,67,1,pound,1925,grenada,bermuda,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,4,1,pound,1925,grenada,british east africa,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,11209,1,pound,1925,grenada,british guiana,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,29,1,pound,1925,grenada,british hong kong,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,10485,1,pound,1925,grenada,british india,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,90641,1,pound,1925,grenada,canada,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,263,1,pound,1925,grenada,ceylon,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,11,1,pound,1925,grenada,dominica,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,93,1,pound,1925,grenada,jamaica,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,3,1,pound,1925,grenada,malta,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,15,1,pound,1925,grenada,mesopotamia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,157,1,pound,1925,grenada,montserrat,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,5,1,pound,1925,grenada,new zealand,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,7094,1,pound,1925,grenada,newfoundland,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,6,1,pound,1925,grenada,rangoon,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,6,1,pound,1925,grenada,singapore,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,2,1,pound,1925,grenada,south africa,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,5,1,pound,1925,grenada,st kitts,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,123,1,pound,1925,grenada,st lucia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,1866,1,pound,1925,grenada,st vincent,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,19898,1,pound,1925,grenada,trinidad,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,62,1,pound,1925,grenada,argentina,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,164,1,pound,1925,grenada,austria,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,444,1,pound,1925,grenada,belgium,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,18,1,pound,1925,grenada,bohemia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,851,1,pound,1925,grenada,bonaire,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,16,1,pound,1925,grenada,brazil,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,73,1,pound,1925,grenada,canal zone,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,50,1,pound,1925,grenada,chile,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,114,1,pound,1925,grenada,china,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,20,1,pound,1925,grenada,cuba,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,111,1,pound,1925,grenada,czechoslovakia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,450,1,pound,1925,grenada,denmark,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,8,1,pound,1925,grenada,finland,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,7874,1,pound,1925,grenada,france,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,3850,1,pound,1925,grenada,germany,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,125,1,pound,1925,grenada,greece,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,1,1,pound,1925,grenada,guadeloupe,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,3928,1,pound,1925,grenada,holland,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,241,1,pound,1925,grenada,italy,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,218,1,pound,1925,grenada,japan,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,1050,1,pound,1925,grenada,madeira,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,51,1,pound,1925,grenada,martinique,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,15622,1,pound,1925,grenada,norway,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,2,1,pound,1925,grenada,peru,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,13,1,pound,1925,grenada,poland,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,58,1,pound,1925,grenada,porto rico,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,220,1,pound,1925,grenada,portugal,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,7,1,pound,1925,grenada,russia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,4,1,pound,1925,grenada,siberia,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,56,1,pound,1925,grenada,smyrna,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,832,1,pound,1925,grenada,spain,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,85,1,pound,1925,grenada,st martin,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,295,1,pound,1925,grenada,sweden,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,1649,1,pound,1925,grenada,switzerland,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,19,1,pound,1925,grenada,turkey,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,2,1,pound,1925,grenada,uganda,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,80859,1,pound,1925,grenada,us,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,10,1,pound,1925,grenada,us virgin islands,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,699,1,pound,1925,grenada,venezuela,imp,,NS,,,,,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,421157,1,pound,1925,grenada,total,imp,,NS,,,,total_reporting,Country of origin
ColonyOfGrenadaBlueBook_1925_138139,169782,1,pound,1925,grenada,uk,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,12618,1,pound,1925,grenada,canada,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,302,1,pound,1925,grenada,british guiana,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,3936,1,pound,1925,grenada,barbados,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,1721,1,pound,1925,grenada,trinidad,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,9,1,pound,1925,grenada,st vincent,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,120,1,pound,1925,grenada,new zealand,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,1506,1,pound,1925,grenada,australia,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,212525,1,pound,1925,grenada,us,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,5970,1,pound,1925,grenada,france,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,16200,1,pound,1925,grenada,norway,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,119,1,pound,1925,grenada,holland,exp,spe,NS,,,,,Country of final destination
ColonyOfGrenadaBlueBook_1925_138139,424808,1,pound,1925,grenada,total,exp,spe,NS,,,,total_reporting,Country of final destination
