source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfLagosBlueBook_1875_147149,330822,1,£,1875,colony of lagos,united kingdom,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,12,1,£,1875,colony of lagos,river gambia,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,1619,1,£,1875,colony of lagos,sierra leone,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,24493,1,£,1875,colony of lagos,france,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,57727,1,£,1875,colony of lagos,germany,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,284,1,£,1875,colony of lagos,madeira,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,3711,1,£,1875,colony of lagos,windward coast,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,2984,1,£,1875,colony of lagos,porto novo,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,3027,1,£,1875,colony of lagos,leeward coast,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,8902,1,£,1875,colony of lagos,zanzibar,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,1537,1,£,1875,colony of lagos,mozambique,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,24627,1,£,1875,colony of lagos,brazil,imp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,459737,1,£,1875,colony of lagos,total,imp,gen,,,,,total_reporting,
ColonyOfLagosBlueBook_1875_147149,270975,1,£,1875,colony of lagos,united kingdom,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,688,1,£,1875,colony of lagos,sierra leone,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,42447,1,£,1875,colony of lagos,france,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,135927,1,£,1875,colony of lagos,germany,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,300,1,£,1875,colony of lagos,madeira,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,6494,1,£,1875,colony of lagos,windward coast,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,43776,1,£,1875,colony of lagos,porto novo,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,2687,1,£,1875,colony of lagos,leeward coast,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,13726,1,£,1875,colony of lagos,brazil,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,515,1,£,1875,colony of lagos,river niger,exp,gen,,,,,,
ColonyOfLagosBlueBook_1875_147149,517536,1,£,1875,colony of lagos,total,exp,gen,,,,,total_reporting,
