source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfMontserratBlueBook_1846_168169,2796,1,£,1846,montserrat,united kingdom,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,11265,1,£,1846,montserrat,british west indies,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,1046,1,£,1846,montserrat,british north america,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,250,1,£,1846,montserrat,united states,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,2610,1,£,1846,montserrat,foreign countries,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,17967,1,£,1846,montserrat,total,imp,gen,,,,,total_reporting,
ColonyOfMontserratBlueBook_1846_168169,6777,1,£,1846,montserrat,united kingdom,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,8970,1,£,1846,montserrat,british west indies,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,229,1,£,1846,montserrat,foreign countries,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_168169,15976,1,£,1846,montserrat,total,exp,gen,,,,,total_reporting,
ColonyOfMontserratBlueBook_1846_176177,6916,1,£,1845,montserrat,united kingdom,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,12903,1,£,1845,montserrat,british west indies,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,381,1,£,1845,montserrat,british north america,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,911,1,£,1845,montserrat,united states,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,5164,1,£,1845,montserrat,foreign countries,imp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,26276,1,£,1845,montserrat,total,imp,gen,,,,,total_reporting,
ColonyOfMontserratBlueBook_1846_176177,12490,1,£,1845,montserrat,united kingdom,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,6432,1,£,1845,montserrat,british west indies,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,3,1,£,1845,montserrat,foreign countries,exp,gen,,,,,,
ColonyOfMontserratBlueBook_1846_176177,18926,1,£,1845,montserrat,total,exp,gen,,,,,total_reporting,
