source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfNevisBlueBook_1879_167169,10468,1,£,1879,colony of nevis,united kingdom,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,2250,1,£,1879,colony of nevis,barbados,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,8956,1,£,1879,colony of nevis,st. kitts,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,1115,1,£,1879,colony of nevis,antigua,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,20,1,£,1879,colony of nevis,montserrat,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,6,1,£,1879,colony of nevis,trinidad,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,15,1,£,1879,colony of nevis,st. lucia,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,113,1,£,1879,colony of nevis,british north america,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,1,1,£,1879,colony of nevis,dominica,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,15036,1,£,1879,colony of nevis,united states,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,662,1,£,1879,colony of nevis,dutch west indies,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,9,1,£,1879,colony of nevis,st. thomas,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,34,1,£,1879,colony of nevis,st. eustatius,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,86,1,£,1879,colony of nevis,guadeloupe,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,40,1,£,1879,colony of nevis,martinique,imp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,38811,1,£,1879,colony of nevis,total,imp,gen,,,,,total_reporting,
ColonyOfNevisBlueBook_1879_167169,58903,1,£,1879,colony of nevis,united kingdom,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,9,1,£,1879,colony of nevis,st. kitts,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,1837,1,£,1879,colony of nevis,british north america,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,14102,1,£,1879,colony of nevis,united states,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,603,1,£,1879,colony of nevis,dutch west indies,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,19,1,£,1879,colony of nevis,st. thomas,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,144,1,£,1879,colony of nevis,st. eustatius,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,200,1,£,1879,colony of nevis,martinique,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,56,1,£,1879,colony of nevis,st. barths,exp,gen,,,,,,
ColonyOfNevisBlueBook_1879_167169,75873,1,£,1879,colony of nevis,total,exp,gen,,,,,total_reporting,
