source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfSaintLuciaBlueBook_1851_182183,19411,1,£,1850,st. lucia,great britain,imp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_182183,24964,1,£,1850,st. lucia,british west indies,imp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_182183,5367,1,£,1850,st. lucia,british north america,imp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_182183,3795,1,£,1850,st. lucia,united states of america,imp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_182183,7000,1,£,1850,st. lucia,foreign states,imp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_182183,60598,1,£,1850,st. lucia,total,imp,gen,,,,,total_reporting,
ColonyOfSaintLuciaBlueBook_1851_190191,40457,1,£,1850,st. lucia,great britain,exp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_190191,5706,1,£,1850,st. lucia,british west indies,exp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_190191,1595,1,£,1850,st. lucia,british north america,exp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_190191,1368,1,£,1850,st. lucia,foreign states,exp,gen,,,,,,
ColonyOfSaintLuciaBlueBook_1851_190191,49127,1,£,1850,st. lucia,total,exp,gen,,,,,total_reporting,
