source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfSaintVincentBlueBook_1886_V1v2,47214,1,£,1886,st vincent,united kingdom,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,33168,1,£,1886,st vincent,british west indies,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,2307,1,£,1886,st vincent,british north america,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,6580,1,£,1886,st vincent,united states of america,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,692,1,£,1886,st vincent,holland,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,78,1,£,1886,st vincent,venezuela,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,982,1,£,1886,st vincent,french west indies,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,98,1,£,1886,st vincent,dutch west indies,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,3,1,£,1886,st vincent,danish west indies,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,60,1,£,1886,st vincent,france,imp,gen,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,91185,1,£,1886,st vincent,total,imp,gen,,,,,total_reporting,
ColonyOfSaintVincentBlueBook_1886_V1v2,21789,1,£,1886,st vincent,united kingdom,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,8200,1,£,1886,st vincent,british west indies,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,60,1,£,1886,st vincent,british north america,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,33720,1,£,1886,st vincent,united states of america,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,4634,1,£,1886,st vincent,french west indies,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,1519,1,£,1886,st vincent,dutch west indies,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,208,1,£,1886,st vincent,spanish west indies,exp,spe,,,,,,
ColonyOfSaintVincentBlueBook_1886_V1v2,70131,1,£,1886,st vincent,total,exp,spe,,,,,total_reporting,
