source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfStChristopherBlueBook_1881_156157,80460,1,£,1881,st christopher,united kingdom,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,3428,1,£,1881,st christopher,antigua,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,682,1,£,1881,st christopher,anguilla,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,4651,1,£,1881,st christopher,barbados,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,239,1,£,1881,st christopher,dominica,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,202,1,£,1881,st christopher,montserrat,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,1841,1,£,1881,st christopher,nevis,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,458,1,£,1881,st christopher,trinidad,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,57,1,£,1881,st christopher,tortola,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,3,1,£,1881,st christopher,st. vincent,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,680,1,£,1881,st christopher,demerara,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,5,1,£,1881,st christopher,grenada,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,120,1,£,1881,st christopher,tobago,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,331,1,£,1881,st christopher,jamaica,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,199,1,£,1881,st christopher,martinique,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,235,1,£,1881,st christopher,guadeloupe,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,53,1,£,1881,st christopher,saba,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,927,1,£,1881,st christopher,st. eustatius,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,582,1,£,1881,st christopher,st. barts,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,723,1,£,1881,st christopher,st. martin,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,501,1,£,1881,st christopher,st. thomas,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,67021,1,£,1881,st christopher,united states of america,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,6244,1,£,1881,st christopher,british north america,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,45,1,£,1881,st christopher,havannah,imp,gen,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,169688,1,£,1881,st christopher,total,imp,gen,,,,,total_reporting,
ColonyOfStChristopherBlueBook_1881_156157,129338,1,£,1881,st christopher,united kingdom,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,701,1,£,1881,st christopher,antigua,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,380,1,£,1881,st christopher,anguilla,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,115,1,£,1881,st christopher,dominica,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,113,1,£,1881,st christopher,montserrat,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,43,1,£,1881,st christopher,nevis,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,222,1,£,1881,st christopher,redonda,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,194,1,£,1881,st christopher,tortola,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,25,1,£,1881,st christopher,st. lucia,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,75,1,£,1881,st christopher,martinique,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,158,1,£,1881,st christopher,sombrero,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,138,1,£,1881,st christopher,saba,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,186,1,£,1881,st christopher,st. eustatius,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,577,1,£,1881,st christopher,st. barts,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,509,1,£,1881,st christopher,st. martin,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,78,1,£,1881,st christopher,st. thomas,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,58574,1,£,1881,st christopher,united states of america,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,7253,1,£,1881,st christopher,british north america,exp,spe,,,,,,
ColonyOfStChristopherBlueBook_1881_156157,198669,1,£,1881,st christopher,total,exp,spe,,,,,total_reporting,
