source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,4352239,1,£,1873,colony of the cape of good hope,united kingdom,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,781,1,£,1873,colony of the cape of good hope,bassein,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,6757,1,£,1873,colony of the cape of good hope,bombay,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,26979,1,£,1873,colony of the cape of good hope,calcutta,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,4558,1,£,1873,colony of the cape of good hope,ceylon,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,6776,1,£,1873,colony of the cape of good hope,chittagong,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,5545,1,£,1873,colony of the cape of good hope,collingapatam,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,36817,1,£,1873,colony of the cape of good hope,hong kong,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,4598,1,£,1873,colony of the cape of good hope,moulmein,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,2543,1,£,1873,colony of the cape of good hope,rangoon,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,1597,1,£,1873,colony of the cape of good hope,singapore,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,15850,1,£,1873,colony of the cape of good hope,shangai,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,45264,1,£,1873,colony of the cape of good hope,south australia,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,78,1,£,1873,colony of the cape of good hope,ascension,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,2541,1,£,1873,colony of the cape of good hope,ichaboe,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,81058,1,£,1873,colony of the cape of good hope,mauritius,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,156165,1,£,1873,colony of the cape of good hope,natal,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,2294,1,£,1873,colony of the cape of good hope,st. helena,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,7,1,£,1873,colony of the cape of good hope,trinidad,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,337,1,£,1873,colony of the cape of good hope,denmark,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,101,1,£,1873,colony of the cape of good hope,france,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,6495,1,£,1873,colony of the cape of good hope,germany,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,14650,1,£,1873,colony of the cape of good hope,norway and sweden,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,4,1,£,1873,colony of the cape of good hope,cochin china,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,9198,1,£,1873,colony of the cape of good hope,china,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,4,1,£,1873,colony of the cape of good hope,japan,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,38014,1,£,1873,colony of the cape of good hope,java,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,30,1,£,1873,colony of the cape of good hope,macao,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,14330,1,£,1873,colony of the cape of good hope,manilla,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,203,1,£,1873,colony of the cape of good hope,pondicherry,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,1469,1,£,1873,colony of the cape of good hope,turkey in asia,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,2,1,£,1873,colony of the cape of good hope,angra pequena,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,46,1,£,1873,colony of the cape of good hope,crozetts,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,25,1,£,1873,colony of the cape of good hope,desolation island,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,487,1,£,1873,colony of the cape of good hope,gough's island,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,6700,1,£,1873,colony of the cape of good hope,johanna,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,130,1,£,1873,colony of the cape of good hope,madeira,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,855,1,£,1873,colony of the cape of good hope,madagascar,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,652,1,£,1873,colony of the cape of good hope,mozambique,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,341,1,£,1873,colony of the cape of good hope,prince of wales' bay,imp,gen,NS,,,,,
ColonyOfTheCapeOfGoodHopeBlueBook_1873_Aa9697,3471,1,£,1873,colony of the cape of good hope,sandwich harbour,imp,gen,NS,,,,,
