source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfTheGambiaBlueBook_1897_196197,97181,1,£,1897,colony of gambia,united kingdom,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,25077,1,£,1897,colony of gambia,sierra leone,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,40,1,£,1897,colony of gambia,gold coast,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,9,1,£,1897,colony of gambia,lagos,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,39355,1,£,1897,colony of gambia,france,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,2069,1,£,1897,colony of gambia,germany,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,8687,1,£,1897,colony of gambia,"america, us",imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,7,1,£,1897,colony of gambia,grand canary,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,1513,1,£,1897,colony of gambia,teneriffe,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,1518,1,£,1897,colony of gambia,cape verde islands,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,396,1,£,1897,colony of gambia,senegal,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,18,1,£,1897,colony of gambia,windward coast,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,436,1,£,1897,colony of gambia,leeward coast,imp,gen,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,176327,1,£,1897,colony of gambia,total,imp,gen,,,,,total_reporting,
ColonyOfTheGambiaBlueBook_1897_196197,7355,1,£,1897,colony of gambia,united kingdom,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,1,1,£,1897,colony of gambia,sierra leone,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,106970,1,£,1897,colony of gambia,france,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,3676,1,£,1897,colony of gambia,germany,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,582,1,£,1897,colony of gambia,"america, us",exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,5659,1,£,1897,colony of gambia,holland,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,1200,1,£,1897,colony of gambia,portugal,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,136,1,£,1897,colony of gambia,teneriffe,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,9,1,£,1897,colony of gambia,cape verde islands,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,1,1,£,1897,colony of gambia,senegal,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,53,1,£,1897,colony of gambia,leeward coast,exp,spe,,,,,,
ColonyOfTheGambiaBlueBook_1897_196197,125642,1,£,1897,colony of gambia,total,exp,spe,,,,,total_reporting,
