source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ColonyOfTurksAndCaicosBlueBook_1885_134135,2726,1,£,1885,colony of turks and caicos islands,united kingdom,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,1610,1,£,1885,colony of turks and caicos islands,british north amercia,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,125,1,£,1885,colony of turks and caicos islands,bahamas,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,69,1,£,1885,colony of turks and caicos islands,barbados,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,134,1,£,1885,colony of turks and caicos islands,bermuda,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,45,1,£,1885,colony of turks and caicos islands,demerara,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,516,1,£,1885,colony of turks and caicos islands,jamaica,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,12,1,£,1885,colony of turks and caicos islands,st. kitts,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,44,1,£,1885,colony of turks and caicos islands,trinidad,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,6,1,£,1885,colony of turks and caicos islands,martinique,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,113,1,£,1885,colony of turks and caicos islands,porto rico,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,240,1,£,1885,colony of turks and caicos islands,st. thomas,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,19,1,£,1885,colony of turks and caicos islands,st. croix,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,61,1,£,1885,colony of turks and caicos islands,st. barts,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,749,1,£,1885,colony of turks and caicos islands,hayti,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,1160,1,£,1885,colony of turks and caicos islands,st. domingo,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,23,1,£,1885,colony of turks and caicos islands,south america,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,20206,1,£,1885,colony of turks and caicos islands,united states,imp,gen,,,,,,
ColonyOfTurksAndCaicosBlueBook_1885_134135,27858,1,£,1885,colony of turks and caicos islands,total,imp,gen,,,,,total_reporting,
ColonyOfTurksAndCaicosBlueBook_1885_134135,92,1,£,1885,colony of turks and caicos islands,united kingdom,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,5736,1,£,1885,colony of turks and caicos islands,british north amercia,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,45,1,£,1885,colony of turks and caicos islands,bahamas,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,134,1,£,1885,colony of turks and caicos islands,bermuda,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,154,1,£,1885,colony of turks and caicos islands,jamaica,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,115,1,£,1885,colony of turks and caicos islands,st. barts,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,1087,1,£,1885,colony of turks and caicos islands,hayti,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,287,1,£,1885,colony of turks and caicos islands,st. domingo,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,39,1,£,1885,colony of turks and caicos islands,south america,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,19842,1,£,1885,colony of turks and caicos islands,united states,exp,spe,,,,,,Produce and manufactures of the colony
ColonyOfTurksAndCaicosBlueBook_1885_134135,26553,1,£,1885,colony of turks and caicos islands,total,exp,spe,,,,,total_reporting,Produce and manufactures of the colony
