source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
ComercioExteriorDeLaRepublicaDeCuba_1929_11,212816812,1,pesos,1928,republica de cuba,suma total,imp,,,,,,total_reporting,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,129349422,1,pesos,1928,republica de cuba,estados unidos,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,4756156,1,pesos,1928,republica de cuba,canadá,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,3485532,1,pesos,1928,republica de cuba,méxico,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2933064,1,pesos,1928,republica de cuba,uruguay,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,974789,1,pesos,1928,republica de cuba,antillas holandesas,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,601747,1,pesos,1928,republica de cuba,chile,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,575591,1,pesos,1928,republica de cuba,venezuela,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,305493,1,pesos,1928,republica de cuba,brasil,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,290422,1,pesos,1928,republica de cuba,colombia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,591157,1,pesos,1928,republica de cuba,santo domingo,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,851270,1,pesos,1928,republica de cuba,argentina,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,280170,1,pesos,1928,republica de cuba,ecuador,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,596313,1,pesos,1928,republica de cuba,san salvador,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,307513,1,pesos,1928,republica de cuba,haití,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,126699,1,pesos,1928,republica de cuba,nicaragua,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,176259,1,pesos,1928,republica de cuba,guatemala,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,,1,pesos,1928,republica de cuba,paraguay,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,81711,1,pesos,1928,republica de cuba,antillas inglesas,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,90095,1,pesos,1928,republica de cuba,puerto rico,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,10552,1,pesos,1928,republica de cuba,panamá,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,158758,1,pesos,1928,republica de cuba,otros países de américa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,10428053,1,pesos,1928,republica de cuba,reino unido,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,9623518,1,pesos,1928,republica de cuba,francia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,9382433,1,pesos,1928,republica de cuba,españa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,6586279,1,pesos,1928,republica de cuba,alemania,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2930518,1,pesos,1928,republica de cuba,bélgica,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2403181,1,pesos,1928,republica de cuba,holanda,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1532650,1,pesos,1928,republica de cuba,italia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1958411,1,pesos,1928,republica de cuba,noruega,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,718896,1,pesos,1928,republica de cuba,suecia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,663984,1,pesos,1928,republica de cuba,suiza,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,716940,1,pesos,1928,republica de cuba,irlanda,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,469198,1,pesos,1928,republica de cuba,dinamarca,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,102727,1,pesos,1928,republica de cuba,austria,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,54903,1,pesos,1928,republica de cuba,portugal,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,75104,1,pesos,1928,republica de cuba,otros países de europa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,326007,1,pesos,1928,republica de cuba,egipto,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,87247,1,pesos,1928,republica de cuba,islas canarias,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,,1,pesos,1928,republica de cuba,africa inglesa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,73991,1,pesos,1928,republica de cuba,otros países de africa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,16066700,1,pesos,1928,republica de cuba,india inglesa,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,817485,1,pesos,1928,republica de cuba,japón,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,562363,1,pesos,1928,republica de cuba,china,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,617359,1,pesos,1928,republica de cuba,siam,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,49811,1,pesos,1928,republica de cuba,otros países de asia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,,1,pesos,1928,republica de cuba,filipinas,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,24785,1,pesos,1928,republica de cuba,australia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,,1,pesos,1928,republica de cuba,nueva zelandia,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1556,1,pesos,1928,republica de cuba,otros países de oceania,imp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,278069689,1,pesos,1928,republica de cuba,suma total,exp,,,,,,total_reporting,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,202535160,1,pesos,1928,republica de cuba,estados unidos,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,3797224,1,pesos,1928,republica de cuba,canadá,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,40748,1,pesos,1928,republica de cuba,méxico,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,851059,1,pesos,1928,republica de cuba,uruguay,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,13955,1,pesos,1928,republica de cuba,antillas holandesas,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,382677,1,pesos,1928,republica de cuba,chile,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,10349,1,pesos,1928,republica de cuba,venezuela,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,34117,1,pesos,1928,republica de cuba,brasil,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,107691,1,pesos,1928,republica de cuba,colombia,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,49795,1,pesos,1928,republica de cuba,santo domingo,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2533339,1,pesos,1928,republica de cuba,argentina,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,340,1,pesos,1928,republica de cuba,ecuador,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,4458,1,pesos,1928,republica de cuba,san salvador,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,3963,1,pesos,1928,republica de cuba,haití,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,7276,1,pesos,1928,republica de cuba,nicaragua,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,18988,1,pesos,1928,republica de cuba,guatemala,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,960,1,pesos,1928,republica de cuba,paraguay,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,575136,1,pesos,1928,republica de cuba,antillas inglesas,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1103267,1,pesos,1928,republica de cuba,puerto rico,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,156500,1,pesos,1928,republica de cuba,panamá,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,281548,1,pesos,1928,republica de cuba,otros países de américa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,45326282,1,pesos,1928,republica de cuba,reino unido,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,4791842,1,pesos,1928,republica de cuba,francia,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,4340282,1,pesos,1928,republica de cuba,españa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2784709,1,pesos,1928,republica de cuba,alemania,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,648700,1,pesos,1928,republica de cuba,bélgica,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1995076,1,pesos,1928,republica de cuba,holanda,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,1574918,1,pesos,1928,republica de cuba,italia,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,27654,1,pesos,1928,republica de cuba,noruega,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,2236023,1,pesos,1928,republica de cuba,suecia,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,60102,1,pesos,1928,republica de cuba,suiza,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,3868,1,pesos,1928,republica de cuba,irlanda,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,36518,1,pesos,1928,republica de cuba,dinamarca,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,8990,1,pesos,1928,republica de cuba,austria,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,80497,1,pesos,1928,republica de cuba,portugal,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,57408,1,pesos,1928,republica de cuba,otros países de europa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,36550,1,pesos,1928,republica de cuba,egipto,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,407239,1,pesos,1928,republica de cuba,islas canarias,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,60215,1,pesos,1928,republica de cuba,africa inglesa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,73104,1,pesos,1928,republica de cuba,otros países de africa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,8081,1,pesos,1928,republica de cuba,india inglesa,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,13497,1,pesos,1928,republica de cuba,japón,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,683045,1,pesos,1928,republica de cuba,china,exp,,,,,,,
ComercioExteriorDeLaRepublicaDeCuba_1929_11,,1,pesos,1928,republica de cuba,siam,exp,,,,,,,
