source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
CommerceExtrieurDeLestonie_1934_1627,574,1000,estonian kroon,1934,estonie,argentine,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,289,1000,estonian kroon,1934,estonie,autriche,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,1656,1000,estonian kroon,1934,estonie,union économique belgo-luxemb.,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,9071,1000,estonian kroon,1934,estonie,grande-bretagne,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,1812,1000,estonian kroon,1934,estonie,egypte,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,1175,1000,estonian kroon,1934,estonie,pays-bas,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,99,1000,estonian kroon,1934,estonie,indes néerlandaises,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,902,1000,estonian kroon,1934,estonie,italie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,97,1000,estonian kroon,1934,estonie,grèce,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,265,1000,estonian kroon,1934,estonie,lithuanie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,2755,1000,estonian kroon,1934,estonie,lettonie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,2387,1000,estonian kroon,1934,estonie,urss,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,1747,1000,estonian kroon,1934,estonie,pologne-danzig,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,3272,1000,estonian kroon,1934,estonie,france,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,2590,1000,estonian kroon,1934,estonie,suède,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,16,1000,estonian kroon,1934,estonie,roumanie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,11706,1000,estonian kroon,1934,estonie,allemagne,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,2300,1000,estonian kroon,1934,estonie,finlande,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,518,1000,estonian kroon,1934,estonie,suisse,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,1093,1000,estonian kroon,1934,estonie,danemark,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,814,1000,estonian kroon,1934,estonie,tchécoslovaquie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,124,1000,estonian kroon,1934,estonie,turquie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,5767,1000,estonian kroon,1934,estonie,etats-unis d’amérique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,55275,1000,estonian kroon,1934,estonie,total,imp,,,,,,total_reporting,
CommerceExtrieurDeLestonie_1934_1627,13687,1,estonian kroon,1934,estonie,congo belge,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,365,1,estonian kroon,1934,estonie,ruanda-urundi,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,291327,1,estonian kroon,1934,estonie,brésil,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,535,1,estonian kroon,1934,estonie,aden,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,201313,1,estonian kroon,1934,estonie,australie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,421934,1,estonian kroon,1934,estonie,soudan anglo-égyptien,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,34158,1,estonian kroon,1934,estonie,afrique est britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,932801,1,estonian kroon,1934,estonie,inde britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,7328,1,estonian kroon,1934,estonie,jamaique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,2352,1,estonian kroon,1934,estonie,cameroun britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,27555,1,estonian kroon,1934,estonie,canada,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,203744,1,estonian kroon,1934,estonie,union sud-africaine,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,121391,1,estonian kroon,1934,estonie,afrique ouest britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,19348,1,estonian kroon,1934,estonie,malaisie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,41190,1,estonian kroon,1934,estonie,palestine,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,162319,1,estonian kroon,1934,estonie,ceylan,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,12,1,estonian kroon,1934,estonie,nouvelle-guinée britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,33534,1,estonian kroon,1934,estonie,nouvelle-zélande,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,12145,1,estonian kroon,1934,estonie,amérique centrale britannique,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,38462,1,estonian kroon,1934,estonie,bulgarie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,7732,1,estonian kroon,1934,estonie,equateur,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,39750,1,estonian kroon,1934,estonie,chine,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,173085,1,estonian kroon,1934,estonie,espagne,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,343885,1,estonian kroon,1934,estonie,curaçao,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,396,1,estonian kroon,1934,estonie,guyane néerlandaise,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,483,1,estonian kroon,1934,estonie,islande,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,46271,1,estonian kroon,1934,estonie,japon,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,171181,1,estonian kroon,1934,estonie,colombie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,42501,1,estonian kroon,1934,estonie,cuba,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,12677,1,estonian kroon,1934,estonie,yougoslavie,imp,,,,,,,
CommerceExtrieurDeLestonie_1934_1627,87,1,estonian kroon,1934,estonie,mandchourie,imp,,,,,,,
