source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,196232632,1,pengõs,1928,hongrie,autriche,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,271885935,1,pengõs,1928,hongrie,tchéco-slovaquie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,95733663,1,pengõs,1928,hongrie,roumanie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,60955079,1,pengõs,1928,hongrie,royaume des s.c.s.,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,236661751,1,pengõs,1928,hongrie,allemagne,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,624663,1,pengõs,1928,hongrie,luxembourg,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,47700556,1,pengõs,1928,hongrie,suisse,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,254904,1,pengõs,1928,hongrie,fiume,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1316581,1,pengõs,1928,hongrie,trieste,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,48413584,1,pengõs,1928,hongrie,italie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,31094709,1,pengõs,1928,hongrie,france,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1829240,1,pengõs,1928,hongrie,espagne,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,530897,1,pengõs,1928,hongrie,portugal,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,8583760,1,pengõs,1928,hongrie,belgique,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,21502337,1,pengõs,1928,hongrie,pays-bas,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,35452062,1,pengõs,1928,hongrie,grande-bretagne et irlande,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1264113,1,pengõs,1928,hongrie,danemark,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,944847,1,pengõs,1928,hongrie,norvège,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,3507816,1,pengõs,1928,hongrie,suède,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,49344100,1,pengõs,1928,hongrie,pologne,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,7655,1,pengõs,1928,hongrie,danzig,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,2785486,1,pengõs,1928,hongrie,russie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1500,1,pengõs,1928,hongrie,lithuanie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,11604,1,pengõs,1928,hongrie,esthonie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,48800,1,pengõs,1928,hongrie,lettonie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,69817,1,pengõs,1928,hongrie,finlande,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,8692875,1,pengõs,1928,hongrie,bulgarie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,4839630,1,pengõs,1928,hongrie,grèce,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,115220,1,pengõs,1928,hongrie,poss. angl. s. l. médit.,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,7448043,1,pengõs,1928,hongrie,turquie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,3000,1,pengõs,1928,hongrie,palestine,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,124396,1,pengõs,1928,hongrie,poss. ang. en arabie,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,111000,1,pengõs,1928,hongrie,perse,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,18087903,1,pengõs,1928,hongrie,indes anglaises et straits settlements,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,10160,1,pengõs,1928,hongrie,chine,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,19243,1,pengõs,1928,hongrie,japon,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1423848,1,pengõs,1928,hongrie,egypte,imp,,,,,,,
CommerceExtrieurDesPaysDeLaSainteCouronneHongroise_1928_44,1765,1,pengõs,1928,hongrie,tunisie,imp,,,,,,,
