source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
CyprusBlueBook_1937_224226,661379,1,£,1937,cyprus,uk,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,689,1,£,1937,cyprus,australasia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,160406,1,£,1937,cyprus,australia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,24,1,£,1937,cyprus,british east africa,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,5779,1,£,1937,cyprus,british east indies,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,147669,1,£,1937,cyprus,british india,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,49,1,£,1937,cyprus,british somaliland,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,84,1,£,1937,cyprus,british south africa,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,277,1,£,1937,cyprus,british west africa,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,20,1,£,1937,cyprus,british west indies,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,29573,1,£,1937,cyprus,canada,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,2,1,£,1937,cyprus,gibraltar,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,7106,1,£,1937,cyprus,hong kong,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,553,1,£,1937,cyprus,malta,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,11488,1,£,1937,cyprus,palestine,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,1338,1,£,1937,cyprus,sudan,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,24014,1,£,1937,cyprus,austria,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,70577,1,£,1937,cyprus,belgium,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,11700,1,£,1937,cyprus,bulgaria,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,32312,1,£,1937,cyprus,czechoslovakia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,9,1,£,1937,cyprus,danzig,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,27073,1,£,1937,cyprus,denmark,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,263,1,£,1937,cyprus,estonia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,4220,1,£,1937,cyprus,finland,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,33632,1,£,1937,cyprus,france,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,153534,1,£,1937,cyprus,germany,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,82790,1,£,1937,cyprus,greece,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,30559,1,£,1937,cyprus,holland,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,16514,1,£,1937,cyprus,hungary,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,66417,1,£,1937,cyprus,italy,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,381,1,£,1937,cyprus,latvia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,32,1,£,1937,cyprus,lithuania,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,10062,1,£,1937,cyprus,luxemburg,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,893,1,£,1937,cyprus,norway,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,5341,1,£,1937,cyprus,poland,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,3947,1,£,1937,cyprus,portugal,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,208897,1,£,1937,cyprus,roumania,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,500,1,£,1937,cyprus,russia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,1518,1,£,1937,cyprus,spain,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,25365,1,£,1937,cyprus,sweden,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,10711,1,£,1937,cyprus,switzerland,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,27205,1,£,1937,cyprus,jugoslavia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,19,1,£,1937,cyprus,arabia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,6135,1,£,1937,cyprus,china,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,139,1,£,1937,cyprus,dodekanesia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,2102,1,£,1937,cyprus,dutch possessions in asia,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,8885,1,£,1937,cyprus,iran,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,29839,1,£,1937,cyprus,iraq,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,52149,1,£,1937,cyprus,japan,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,3,1,£,1937,cyprus,manchuria,imp,gen,NS,,,,,
CyprusBlueBook_1937_224226,1,1,£,1937,cyprus,portuguese possessions in asia,imp,gen,NS,,,,,
