source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
EastAfricaProtectorateBlueBook_191112_W1w2,549274,1,£,1911,colony of the east africa protectorate,united kingdom,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,240764,1,£,1911,colony of the east africa protectorate,india and burmah,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,1674,1,£,1911,colony of the east africa protectorate,ceylon,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,7369,1,£,1911,colony of the east africa protectorate,mauritius,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4606,1,£,1911,colony of the east africa protectorate,zanzibar,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5897,1,£,1911,colony of the east africa protectorate,uganda protectorate,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,12036,1,£,1911,colony of the east africa protectorate,south africa union,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,690,1,£,1911,colony of the east africa protectorate,australian colonies,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,154,1,£,1911,colony of the east africa protectorate,hong-kong,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5806,1,£,1911,colony of the east africa protectorate,arabia,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,30520,1,£,1911,colony of the east africa protectorate,austria-hungary,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5950,1,£,1911,colony of the east africa protectorate,belgium,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,3502,1,£,1911,colony of the east africa protectorate,china,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,237,1,£,1911,colony of the east africa protectorate,denmark,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,933,1,£,1911,colony of the east africa protectorate,egypt,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,18293,1,£,1911,colony of the east africa protectorate,france,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,203,1,£,1911,colony of the east africa protectorate,french possessions,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,128758,1,£,1911,colony of the east africa protectorate,germany,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,6675,1,£,1911,colony of the east africa protectorate,german east africa,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,85035,1,£,1911,colony of the east africa protectorate,holland,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,3643,1,£,1911,colony of the east africa protectorate,italian east africa,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,18825,1,£,1911,colony of the east africa protectorate,italy,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4529,1,£,1911,colony of the east africa protectorate,japan,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,7531,1,£,1911,colony of the east africa protectorate,norway,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,332,1,£,1911,colony of the east africa protectorate,portugal,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,29,1,£,1911,colony of the east africa protectorate,portuguese possessions,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,1011,1,£,1911,colony of the east africa protectorate,russia,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,263,1,£,1911,colony of the east africa protectorate,spain,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,2785,1,£,1911,colony of the east africa protectorate,sweden,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,389,1,£,1911,colony of the east africa protectorate,ports of europe (other),imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,17546,1,£,1911,colony of the east africa protectorate,switzerland,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,32154,1,£,1911,colony of the east africa protectorate,ports of asia (other),imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,511,1,£,1911,colony of the east africa protectorate,turkey,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,132613,1,£,1911,colony of the east africa protectorate,united states of america,imp,gen,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,1330437,1,£,1911,colony of the east africa protectorate,total,imp,gen,,,Year begins 1st April,,total_reporting,
EastAfricaProtectorateBlueBook_191112_W1w2,75061,1,£,1911,colony of the east africa protectorate,united kingdom,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,12394,1,£,1911,colony of the east africa protectorate,india and burmah,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,17,1,£,1911,colony of the east africa protectorate,mauritius,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,52602,1,£,1911,colony of the east africa protectorate,zanzibar,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4872,1,£,1911,colony of the east africa protectorate,uganda protectorate,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,751,1,£,1911,colony of the east africa protectorate,south africa union,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,78,1,£,1911,colony of the east africa protectorate,hong-kong,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4251,1,£,1911,colony of the east africa protectorate,arabia,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4407,1,£,1911,colony of the east africa protectorate,austria-hungary,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5938,1,£,1911,colony of the east africa protectorate,belgium,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,2608,1,£,1911,colony of the east africa protectorate,egypt,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,73398,1,£,1911,colony of the east africa protectorate,france,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,53,1,£,1911,colony of the east africa protectorate,french possessions,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,29502,1,£,1911,colony of the east africa protectorate,germany,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5450,1,£,1911,colony of the east africa protectorate,german east africa,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,190,1,£,1911,colony of the east africa protectorate,holland,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,32683,1,£,1911,colony of the east africa protectorate,italian east africa,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,5340,1,£,1911,colony of the east africa protectorate,italy,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,4,1,£,1911,colony of the east africa protectorate,norway,exp,spe,,,Year begins 1st April,,,
EastAfricaProtectorateBlueBook_191112_W1w2,592,1,£,1911,colony of the east africa protectorate,portuguese possessions,exp,spe,,,Year begins 1st April,,,
