source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
EstadísticaComercialDeLaRepúblicaDeChile_1846,459500.0,1,pesos,1846,chili,alemania,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,1453278.0,1,pesos,1846,chili,norte-america,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,3830705.0,1,pesos,1846,chili,inglaterra y sus colonias,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,1439.0,1,pesos,1846,chili,confederacion argentina,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,44.0,1,pesos,1846,chili,austria,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,beljica,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,81905.0,1,pesos,1846,chili,bolivia,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,227720.0,1,pesos,1846,chili,brasil,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,92324.0,1,pesos,1846,chili,centro-america,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,159725.0,1,pesos,1846,chili,china,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,6941.0,1,pesos,1846,chili,dinamarca,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,29404.0,1,pesos,1846,chili,ecuador,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,1535.0,1,pesos,1846,chili,espana i sus colonias,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,717963.0,1,pesos,1846,chili,francia y sus colonias,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,holanda,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,7203.0,1,pesos,1846,chili,mejico,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,100.0,1,pesos,1846,chili,nueva-granada,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,paraguay,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,754699.0,1,pesos,1846,chili,peru,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,121744.0,1,pesos,1846,chili,polinesia,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,portugal,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,2714.0,1,pesos,1846,chili,rusia,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,30452.0,1,pesos,1846,chili,cerdena,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,suecia,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,8115288.0,1,pesos,1846,chili,total,exp,?,,,,,total_reporting,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,135893.0,1,pesos,1846,chili,uruguay,exp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,862585.0,1,pesos,1846,chili,alemania,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,932716.0,1,pesos,1846,chili,norte-america,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,3465546.0,1,pesos,1846,chili,inglaterra y sus colonias,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,32193.0,1,pesos,1846,chili,confederacion argentina,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,austria,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,27049.0,1,pesos,1846,chili,beljica,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,1032917.0,1,pesos,1846,chili,bolivia,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,599047.0,1,pesos,1846,chili,brasil,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,95751.0,1,pesos,1846,chili,centro-america,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,288455.0,1,pesos,1846,chili,china,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,dinamarca,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,129444.0,1,pesos,1846,chili,ecuador,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,243300.0,1,pesos,1846,chili,espana i sus colonias,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,830035.0,1,pesos,1846,chili,francia y sus colonias,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,53719.0,1,pesos,1846,chili,holanda,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,203242.0,1,pesos,1846,chili,mejico,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,,1,pesos,1846,chili,nueva-granada,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,18920.0,1,pesos,1846,chili,paraguay,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,1204161.0,1,pesos,1846,chili,peru,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,9700.0,1,pesos,1846,chili,polinesia,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,2914.0,1,pesos,1846,chili,portugal,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,994.0,1,pesos,1846,chili,rusia,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,27414.0,1,pesos,1846,chili,cerdena,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,3860.0,1,pesos,1846,chili,suecia,imp,?,,,,,,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,10149136.0,1,pesos,1846,chili,total,imp,?,,,,,total_reporting,??Capitaux
EstadísticaComercialDeLaRepúblicaDeChile_1846,85174.0,1,pesos,1846,chili,uruguay,imp,?,,,,,,??Capitaux
