source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
FranceStatistiquesColonialesCommerce_1898_5657,18972603,1,francs,1898,martinique,france,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,201280,1,francs,1898,martinique,colonies françaises,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,23,1,francs,1898,martinique,angleterre,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,210,1,francs,1898,martinique,etats-unis,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,8162,1,francs,1898,martinique,possessions anglaises d'amérique,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,5708,1,francs,1898,martinique,autres pays,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_5657,19187986,1,francs,1898,martinique,total,exp,spe,,,,,total_reporting,
FranceStatistiquesColonialesCommerce_1898_104105,15893961,1,francs,1898,guadeloupe,france,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_104105,560930,1,francs,1898,guadeloupe,colonies françaises,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_104105,32943,1,francs,1898,guadeloupe,etats-unis,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_104105,3526,1,francs,1898,guadeloupe,antilles anglaises,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_104105,11470,1,francs,1898,guadeloupe,autres pays,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_104105,16502830,1,francs,1898,guadeloupe,total,exp,spe,,,,,total_reporting,
FranceStatistiquesColonialesCommerce_1898_132133,18082304,1,francs,1898,réunion,france,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_132133,472487,1,francs,1898,réunion,colonies françaises,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_132133,296924,1,francs,1898,réunion,ile maurice,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_132133,8853,1,francs,1898,réunion,autres pays,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_132133,18860568,1,francs,1898,réunion,total,exp,spe,,,,,total_reporting,
FranceStatistiquesColonialesCommerce_1898_196197,15834263,1,francs,1898,sénégal,france,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,9996,1,francs,1898,sénégal,colonies françaises,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,859241,1,francs,1898,sénégal,angleterre,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,859717,1,francs,1898,sénégal,allemagne,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,274650,1,francs,1898,sénégal,belgique,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,1537263,1,francs,1898,sénégal,hollande,exp,spe,,,,,,
FranceStatistiquesColonialesCommerce_1898_196197,78991,1,francs,1898,sénégal,colonies anglaises de la côte occidentale d'afrique,exp,spe,,,,,,
