source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
GoldCoastColonyBlueBook_1921_13,5073410,1,£,1921,gold coast colony,united kingdom,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,21347,1,£,1921,gold coast colony,canada,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4005,1,£,1921,gold coast colony,british india,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,154,1,£,1921,gold coast colony,jamaica,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,32,1,£,1921,gold coast colony,ceylon,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,141,1,£,1921,gold coast colony,hong kong,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1256,1,£,1921,gold coast colony,australia,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,2,1,£,1921,gold coast colony,straits settlements,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,199,1,£,1921,gold coast colony,gambia,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4241,1,£,1921,gold coast colony,sierra leone,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,97418,1,£,1921,gold coast colony,nigeria,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,117,1,£,1921,gold coast colony,cape colony,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,112233,1,£,1921,gold coast colony,france,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,175232,1,£,1921,gold coast colony,holland,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,965251,1,£,1921,gold coast colony,united states of america,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,163,1,£,1921,gold coast colony,argentina,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4,1,£,1921,gold coast colony,costa rica,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,17535,1,£,1921,gold coast colony,belgium,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,92874,1,£,1921,gold coast colony,germany,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,31895,1,£,1921,gold coast colony,switzerland,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,896,1,£,1921,gold coast colony,austria,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,360,1,£,1921,gold coast colony,czecho-slovakia,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,14203,1,£,1921,gold coast colony,italy,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,6675,1,£,1921,gold coast colony,japan,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1730,1,£,1921,gold coast colony,norway,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,17794,1,£,1921,gold coast colony,sweden,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,913,1,£,1921,gold coast colony,spain,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,3131,1,£,1921,gold coast colony,portugal,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4547,1,£,1921,gold coast colony,denmark,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4,1,£,1921,gold coast colony,greece,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,7,1,£,1921,gold coast colony,china,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,3,1,£,1921,gold coast colony,egypt,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,48769,1,£,1921,gold coast colony,canary islands,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,327,1,£,1921,gold coast colony,madeira,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,144,1,£,1921,gold coast colony,french guinea,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1511,1,£,1921,gold coast colony,senegal,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,265,1,£,1921,gold coast colony,liberia,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,49339,1,£,1921,gold coast colony,ivory coast,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,67424,1,£,1921,gold coast colony,togoland,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,802,1,£,1921,gold coast colony,dahomey,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,301,1,£,1921,gold coast colony,kamerun,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,103,1,£,1921,gold coast colony,french congo,imp,gen,NS,,,,,
GoldCoastColonyBlueBook_1921_13,6816757,1,£,1921,gold coast colony,total,imp,gen,NS,,,,total_reporting,
GoldCoastColonyBlueBook_1921_13,1873982,1,£,1921,gold coast colony,united kingdom,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,170,1,£,1921,gold coast colony,gambia,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,357,1,£,1921,gold coast colony,sierra leone,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,465842,1,£,1921,gold coast colony,nigeria,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,441979,1,£,1921,gold coast colony,france,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,482941,1,£,1921,gold coast colony,holland,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1024477,1,£,1921,gold coast colony,united states of america,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1079537,1,£,1921,gold coast colony,germany,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,25662,1,£,1921,gold coast colony,belgium,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,1573,1,£,1921,gold coast colony,switzerland,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,14029,1,£,1921,gold coast colony,italy,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,66466,1,£,1921,gold coast colony,norway,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,6029,1,£,1921,gold coast colony,sweden,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,4789,1,£,1921,gold coast colony,denmark,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,5,1,£,1921,gold coast colony,liberia,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,3682,1,£,1921,gold coast colony,ivory coast,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,40327,1,£,1921,gold coast colony,togoland,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,233,1,£,1921,gold coast colony,dahomey,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,33,1,£,1921,gold coast colony,kamerun,exp,spe,NS,,,,,
GoldCoastColonyBlueBook_1921_13,5532113,1,£,1921,gold coast colony,total,exp,spe,NS,,,,total_reporting,
