source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
HagskrslurSlandsVerslunarskrslur_1922_3437,19943294,1,kr,1922,iceland,danmörk,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,12522,1,kr,1922,iceland,færeyjar,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,15952513,1,kr,1922,iceland,bretland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,41085,1,kr,1922,iceland,írland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,3802187,1,kr,1922,iceland,noregur,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,1621908,1,kr,1922,iceland,svíþjóð,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,5478,1,kr,1922,iceland,finnland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,19681,1,kr,1922,iceland,danzig,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,3972344,1,kr,1922,iceland,þýskaland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,483811,1,kr,1922,iceland,holland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,73522,1,kr,1922,iceland,belgía,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,178176,1,kr,1922,iceland,frakkland,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,197344,1,kr,1922,iceland,portúgal,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,2265385,1,kr,1922,iceland,spánn,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,97065,1,kr,1922,iceland,ítalía,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,79815,1,kr,1922,iceland,sviss,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,17668,1,kr,1922,iceland,austurríki,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,22825,1,kr,1922,iceland,tjekkóslóvakía,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,122323,1,kr,1922,iceland,kanada,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,3107563,1,kr,1922,iceland,bandaríkin,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,15929,1,kr,1922,iceland,madère,imp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,52032438,1,kr,1922,iceland,samtals,imp,,,,,,total_reporting,
HagskrslurSlandsVerslunarskrslur_1922_3437,7557951,1,kr,1922,iceland,danmörk,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,103850,1,kr,1922,iceland,færeyjar,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,7134834,1,kr,1922,iceland,bretland,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,5624853,1,kr,1922,iceland,noregur,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,5540339,1,kr,1922,iceland,svíþjóð,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,14839,1,kr,1922,iceland,danzig,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,238205,1,kr,1922,iceland,þýskaland,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,2267,1,kr,1922,iceland,holland,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,2240,1,kr,1922,iceland,belgía,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,147187,1,kr,1922,iceland,frakkland,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,587439,1,kr,1922,iceland,portúgal,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,19507696,1,kr,1922,iceland,spánn,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,59767,1,kr,1922,iceland,gíbraltar,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,3260927,1,kr,1922,iceland,ítalía,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,600,1,kr,1922,iceland,suisse,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,200,1,kr,1922,iceland,austurríki,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,5127,1,kr,1922,iceland,kanada,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,765345,1,kr,1922,iceland,bandaríkin,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,24408,1,kr,1922,iceland,brasilía,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,20160,1,kr,1922,iceland,argentína,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,12,1,kr,1922,iceland,egyptaland,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,607,1,kr,1922,iceland,sumatra,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,15,1,kr,1922,iceland,nouvelle-zélande,exp,,,,,,,
HagskrslurSlandsVerslunarskrslur_1922_3437,50598868,1,kr,1922,iceland,samtals,exp,,,,,,total_reporting,
