source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
HongKongBlueBook_1921_S1,8457269,1,£,1921,hong kong,united kingdom,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,498801,1,£,1921,hong kong,australia,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,16250,1,£,1921,hong kong,new zealand,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,278398,1,£,1921,hong kong,canada,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,4211995,1,£,1921,hong kong,india,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,6826,1,£,1921,hong kong,ceylon,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,823241,1,£,1921,hong kong,burmah,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,1958,1,£,1921,hong kong,south africa,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,47766,1,£,1921,hong kong,british east africa,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,2693,1,£,1921,hong kong,british west africa,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,2368438,1,£,1921,hong kong,straits settlements and federated malay states,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,273178,1,£,1921,hong kong,british north borneo,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,6201,1,£,1921,hong kong,egypt,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,267,1,£,1921,hong kong,gibraltar,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,267,1,£,1921,hong kong,malta,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,6346,1,£,1921,hong kong,mauritius,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,4127,1,£,1921,hong kong,aden,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,293092,1,£,1921,hong kong,british west indies,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,15670489,1,£,1921,hong kong,china,imp,gen,,,,,,Not including South China except for ores and tobacco. Treasure included.
HongKongBlueBook_1921_S1,8027683,1,£,1921,hong kong,"japan, korea & formosa",imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,9969111,1,£,1921,hong kong,netherlands east indies,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,10815783,1,£,1921,hong kong,french indo-china,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,5121647,1,£,1921,hong kong,siam,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,1408059,1,£,1921,hong kong,philippines,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,12236175,1,£,1921,hong kong,usa,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,1133,1,£,1921,hong kong,central america,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,16722,1,£,1921,hong kong,south america,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,919,1,£,1921,hong kong,north africa,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,2209,1,£,1921,hong kong,madagascar,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,186547,1,£,1921,hong kong,france,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,68684,1,£,1921,hong kong,italy,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,2662,1,£,1921,hong kong,spain,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,891,1,£,1921,hong kong,portugal,imp,gen,,,,,,Treasure included.
HongKongBlueBook_1921_S1,15078,1,£,1921,hong kong,norway,imp,gen,,,,,,Treasure included.
