source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
IslandOfJamaicaBlueBook_1878_U23,757076,1,£,1878,jamaica,united kingdom,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,470902,1,£,1878,jamaica,united states of america,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,208208,1,£,1878,jamaica,dominion of canada,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,2781,1,£,1878,jamaica,foreign states of america,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,5535,1,£,1878,jamaica,foreign west indies,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,6452,1,£,1878,jamaica,germany,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,339,1,£,1878,jamaica,hayti,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,16122,1,£,1878,jamaica,france,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,10761,1,£,1878,jamaica,british west indies,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,14395,1,£,1878,jamaica,british east indies,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,53,1,£,1878,jamaica,british honduras,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,142,1,£,1878,jamaica,new grenada,imp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,1492722,1,£,1878,jamaica,total,imp,gen,S,,year ended 30th September,,total_reporting,
IslandOfJamaicaBlueBook_1878_U23,954584,1,£,1878,jamaica,united kingdom,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,171285,1,£,1878,jamaica,united states of america,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,758,1,£,1878,jamaica,dominion of canada,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,6713,1,£,1878,jamaica,foreign states of america,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,34801,1,£,1878,jamaica,foreign west indies,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,6378,1,£,1878,jamaica,germany,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,5973,1,£,1878,jamaica,hayti,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,15384,1,£,1878,jamaica,france,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,13535,1,£,1878,jamaica,british west indies,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,241,1,£,1878,jamaica,british east indies,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,12,1,£,1878,jamaica,british honduras,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,505,1,£,1878,jamaica,new grenada,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,531,1,£,1878,jamaica,austria hungary,exp,gen,S,,year ended 30th September,,,
IslandOfJamaicaBlueBook_1878_U23,1210704,1,£,1878,jamaica,total,exp,gen,S,,year ended 30th September,,total_reporting,
