source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,5419,1000,kr,1895,iceland,total,imp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,3694,1000,kr,1895,iceland,denmark,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,414,1000,kr,1895,iceland,norway and sweden,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1187,1000,kr,1895,iceland,united kingdom,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,124,1000,kr,1895,iceland,other countries,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,7651,1000,kr,1895,iceland,total,exp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2948,1000,kr,1895,iceland,denmark,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,986,1000,kr,1895,iceland,norway and sweden,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2642,1000,kr,1895,iceland,united kingdom,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,336,1000,kr,1895,iceland,italy,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,714,1000,kr,1895,iceland,spain,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,25,1000,kr,1895,iceland,other countries,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,6207,1000,kr,1896,iceland,total,imp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,4186,1000,kr,1896,iceland,denmark,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,594,1000,kr,1896,iceland,norway and sweden,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1259,1000,kr,1896,iceland,united kingdom,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,168,1000,kr,1896,iceland,other countries,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,6582,1000,kr,1896,iceland,total,exp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1942,1000,kr,1896,iceland,denmark,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1346,1000,kr,1896,iceland,norway and sweden,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2508,1000,kr,1896,iceland,united kingdom,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,224,1000,kr,1896,iceland,italy,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,528,1000,kr,1896,iceland,spain,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,36,1000,kr,1896,iceland,other countries,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,6299,1000,kr,1897,iceland,total,imp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,4015,1000,kr,1897,iceland,denmark,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,709,1000,kr,1897,iceland,norway and sweden,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1420,1000,kr,1897,iceland,united kingdom,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,155,1000,kr,1897,iceland,other countries,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,6110,1000,kr,1897,iceland,total,exp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2158,1000,kr,1897,iceland,denmark,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,929,1000,kr,1897,iceland,norway and sweden,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2022,1000,kr,1897,iceland,united kingdom,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,285,1000,kr,1897,iceland,italy,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,596,1000,kr,1897,iceland,spain,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,120,1000,kr,1897,iceland,other countries,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,5685,1000,kr,1898,iceland,total,imp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,3626,1000,kr,1898,iceland,denmark,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,561,1000,kr,1898,iceland,norway and sweden,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1335,1000,kr,1898,iceland,united kingdom,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,163,1000,kr,1898,iceland,other countries,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,5969,1000,kr,1898,iceland,total,exp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2104,1000,kr,1898,iceland,denmark,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,945,1000,kr,1898,iceland,norway and sweden,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1923,1000,kr,1898,iceland,united kingdom,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,282,1000,kr,1898,iceland,italy,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,599,1000,kr,1898,iceland,spain,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,116,1000,kr,1898,iceland,other countries,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,6069,1000,kr,1899,iceland,total,imp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,4161,1000,kr,1899,iceland,denmark,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,485,1000,kr,1899,iceland,norway and sweden,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1372,1000,kr,1899,iceland,united kingdom,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,50,1000,kr,1899,iceland,other countries,imp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,7395,1000,kr,1899,iceland,total,exp,,NS,,,,total_reporting,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2627,1000,kr,1899,iceland,denmark,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,821,1000,kr,1899,iceland,norway and sweden,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,2261,1000,kr,1899,iceland,united kingdom,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,464,1000,kr,1899,iceland,italy,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,1051,1000,kr,1899,iceland,spain,exp,,NS,,,,,
JnssonGMSMagnsson_HagskinnaIcelandicHistoricalStatistics_448455,172,1000,kr,1899,iceland,other countries,exp,,NS,,,,,
