source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,3481423.0,1,roubles assignat,1834,russia,péninsule scandinave,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,3586102.0,1,roubles assignat,1834,russia,péninsule scandinave,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,12722438.0,1,roubles assignat,1834,russia,prusse,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,16451597.0,1,roubles assignat,1834,russia,prusse,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,6259851.0,1,roubles assignat,1834,russia,danemark,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,2498632.0,1,roubles assignat,1834,russia,danemark,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,1432089.0,1,roubles assignat,1834,russia,sund,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,,1,roubles assignat,1834,russia,sund,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,5314612.0,1,roubles assignat,1834,russia,villes hanséatiques,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,27871719.0,1,roubles assignat,1834,russia,villes hanséatiques,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,8992937.0,1,roubles assignat,1834,russia,hollande,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,6205155.0,1,roubles assignat,1834,russia,hollande,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,105577842.0,1,roubles assignat,1834,russia,grande-bretagne,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,63536295.0,1,roubles assignat,1834,russia,grande-bretagne,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,10671770.0,1,roubles assignat,1834,russia,france,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,12530647.0,1,roubles assignat,1834,russia,france,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,1099565.0,1,roubles assignat,1834,russia,péninsule ibérique,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,4507750.0,1,roubles assignat,1834,russia,péninsule ibérique,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,3821476.0,1,roubles assignat,1834,russia,etats italiens,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,4151319.0,1,roubles assignat,1834,russia,etats italiens,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,10542800.0,1,roubles assignat,1834,russia,autriche,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,11158752.0,1,roubles assignat,1834,russia,autriche,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,16516568.0,1,roubles assignat,1834,russia,turquie,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,18498636.0,1,roubles assignat,1834,russia,turquie,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,10673286.0,1,roubles assignat,1834,russia,amérique,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,21210234.0,1,roubles assignat,1834,russia,amérique,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,2719661.0,1,roubles assignat,1834,russia,autres pays d'europe et d'amérique,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,284630.0,1,roubles assignat,1834,russia,autres pays d'europe et d'amérique,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,782480.0,1,roubles assignat,1834,russia,turquie asiatique,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,682424.0,1,roubles assignat,1834,russia,turquie asiatique,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,2256406.0,1,roubles assignat,1834,russia,perse,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,6022994.0,1,roubles assignat,1834,russia,perse,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,373896.0,1,roubles assignat,1834,russia,khanat de khiva,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,279496.0,1,roubles assignat,1834,russia,khanat de khiva,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,4673312.0,1,roubles assignat,1834,russia,steppes kirgisiennes,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,4617283.0,1,roubles assignat,1834,russia,steppes kirgisiennes,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,831043.0,1,roubles assignat,1834,russia,rhanat de bokhava,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,1625788.0,1,roubles assignat,1834,russia,rhanat de bokhava,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,,1,roubles assignat,1834,russia,tachkent,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,1071583.0,1,roubles assignat,1834,russia,tachkent,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,973348.0,1,roubles assignat,1834,russia,kokan,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,41853.0,1,roubles assignat,1834,russia,kokan,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,7353625.0,1,roubles assignat,1834,russia,chine,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,7451389.0,1,roubles assignat,1834,russia,chine,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,252038.0,1,roubles assignat,1834,russia,autres pays d'asie,exp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,40346.0,1,roubles assignat,1834,russia,autres pays d'asie,imp,?,,,,,,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,217322446.0,1,roubles assignat,1834,russia,monde,exp,?,,,,,total_reporting,
LeCommerceExtérieurNationalDansSesAspectsDiversRussie_1834,214324630.0,1,roubles assignat,1834,russia,monde,imp,?,,,,,total_reporting,
