source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
LeCommerceExtrieurDeLegypte_1929_2431,52043969,1,egyptian pounds,1928,egypt,total,imp,,,,,,total_reporting,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,11326242,1,egyptian pounds,1928,egypt,united kingdom,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,217540,1,egyptian pounds,1928,egypt,cyprus,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,3673,1,egyptian pounds,1928,egypt,malta,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,72319,1,egyptian pounds,1928,egypt,aden,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,142192,1,egyptian pounds,1928,egypt,british borneo,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1625157,1,egyptian pounds,1928,egypt,british india,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,577328,1,egyptian pounds,1928,egypt,ceylon,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,18295,1,egyptian pounds,1928,egypt,hong kong,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,50397,1,egyptian pounds,1928,egypt,straits settlements and dependencies,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,44133,1,egyptian pounds,1928,egypt,trinidad,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,160,1,egyptian pounds,1928,egypt,british west indies,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,27692,1,egyptian pounds,1928,egypt,canada,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,114416,1,egyptian pounds,1928,egypt,british east africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,2299,1,egyptian pounds,1928,egypt,british west africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,2034,1,egyptian pounds,1928,egypt,union of south africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1564439,1,egyptian pounds,1928,egypt,australasia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,3,1,egyptian pounds,1928,egypt,bermuda,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,134354,1,egyptian pounds,1928,egypt,abyssinia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,2009,1,egyptian pounds,1928,egypt,albania,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,268329,1,egyptian pounds,1928,egypt,arabia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,28342,1,egyptian pounds,1928,egypt,argentina,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,632239,1,egyptian pounds,1928,egypt,austria,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1998011,1,egyptian pounds,1928,egypt,belgium,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,430,1,egyptian pounds,1928,egypt,belgian possessions in africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,362325,1,egyptian pounds,1928,egypt,brazil,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,167652,1,egyptian pounds,1928,egypt,bulgaria,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1800940,1,egyptian pounds,1928,egypt,chile,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,283178,1,egyptian pounds,1928,egypt,china,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,31,1,egyptian pounds,1928,egypt,colombia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,3794,1,egyptian pounds,1928,egypt,cuba,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1307998,1,egyptian pounds,1928,egypt,czechoslovakia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,13900,1,egyptian pounds,1928,egypt,denmark,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,78,1,egyptian pounds,1928,egypt,ecuador,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,266309,1,egyptian pounds,1928,egypt,finland,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,5295906,1,egyptian pounds,1928,egypt,france,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,32809,1,egyptian pounds,1928,egypt,algeria,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,28510,1,egyptian pounds,1928,egypt,morocco,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,87341,1,egyptian pounds,1928,egypt,tunis,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,22956,1,egyptian pounds,1928,egypt,french possessions in the far east,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,10083,1,egyptian pounds,1928,egypt,french possessions in africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,416,1,egyptian pounds,1928,egypt,french guiana,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,77,1,egyptian pounds,1928,egypt,french west indies,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,3549833,1,egyptian pounds,1928,egypt,germany,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,917983,1,egyptian pounds,1928,egypt,greece,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,122545,1,egyptian pounds,1928,egypt,crete,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,94,1,egyptian pounds,1928,egypt,guatemala,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,610525,1,egyptian pounds,1928,egypt,holland,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,619603,1,egyptian pounds,1928,egypt,dutch possessions in the far east,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,21781,1,egyptian pounds,1928,egypt,dutch west indies,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,460,1,egyptian pounds,1928,egypt,honduras,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,72537,1,egyptian pounds,1928,egypt,hungary,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,4933748,1,egyptian pounds,1928,egypt,italy,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,10539,1,egyptian pounds,1928,egypt,eritrea,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,165180,1,egyptian pounds,1928,egypt,tripoli,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,84,1,egyptian pounds,1928,egypt,italian possessions in africa,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,1595380,1,egyptian pounds,1928,egypt,japan,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,126044,1,egyptian pounds,1928,egypt,mesopotamia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,306,1,egyptian pounds,1928,egypt,mexico,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,492,1,egyptian pounds,1928,egypt,nicaragua,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,66044,1,egyptian pounds,1928,egypt,norway,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,952846,1,egyptian pounds,1928,egypt,palestine,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,18,1,egyptian pounds,1928,egypt,panama,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,349444,1,egyptian pounds,1928,egypt,persia,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,226,1,egyptian pounds,1928,egypt,peru,imp,,,,,,,Includes tobacco
LeCommerceExtrieurDeLegypte_1929_2431,82085,1,egyptian pounds,1928,egypt,poland-danzig,imp,,,,,,,Includes tobacco
