source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
LeewardIslandsBlueBook_19161917_V2v3,51865,1,£,1916,antigua,united kingdom,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,34236,1,£,1916,antigua,canada,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,26884,1,£,1916,antigua,barbados,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,3891,1,£,1916,antigua,trinidad,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,2800,1,£,1916,antigua,british guiana,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,66,1,£,1916,antigua,jamaica,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,294,1,£,1916,antigua,windward islands,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,22,1,£,1916,antigua,bermuda,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,22,1,£,1916,antigua,other british possessions,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,5165,1,£,1916,antigua,the presidencies of the leeward islands (internal trade),imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,62921,1,£,1916,st. kitts-nevis,united kingdom,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,46095,1,£,1916,st. kitts-nevis,canada,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,1892,1,£,1916,st. kitts-nevis,india,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,11176,1,£,1916,st. kitts-nevis,barbados,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,1367,1,£,1916,st. kitts-nevis,trinidad,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,846,1,£,1916,st. kitts-nevis,british guiana,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,65,1,£,1916,st. kitts-nevis,jamaica,imp,gen,,,,,,
LeewardIslandsBlueBook_19161917_V2v3,737,1,£,1916,st. kitts-nevis,windward islands,imp,gen,,,,,,
