source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
MaltaBlueBook_1901_Q3,425363,1,£,1901,malta,united kingdom,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,80,1,£,1901,malta,gibraltar,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,3611,1,£,1901,malta,cyprus,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,38162,1,£,1901,malta,australia,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,36330,1,£,1901,malta,austria-hungary,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,3316,1,£,1901,malta,belgium & holland,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,30123,1,£,1901,malta,france,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,29,1,£,1901,malta,algiers,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,13921,1,£,1901,malta,germany,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,18429,1,£,1901,malta,greece,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,144811,1,£,1901,malta,italy,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,154592,1,£,1901,malta,russia,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,56227,1,£,1901,malta,spain,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,78155,1,£,1901,malta,turkey,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,138002,1,£,1901,malta,barbary (tripoli),imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,67935,1,£,1901,malta,tunis,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,412,1,£,1901,malta,egypt,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,7460,1,£,1901,malta,morocco,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,79580,1,£,1901,malta,united states of america,imp,spe,,,,,,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,1299309,1,£,1901,malta,total,imp,spe,,,,,total_reporting,Value of cargoes imported and actually landed at this port. Only imports subject to duty.
MaltaBlueBook_1901_Q3,1186,1,£,1901,malta,united kingdom,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,126,1,£,1901,malta,gibraltar,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,307,1,£,1901,malta,british india,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,7,1,£,1901,malta,australia,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,4,1,£,1901,malta,cyprus,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,103,1,£,1901,malta,cape town,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,533,1,£,1901,malta,austria-hungary,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,24,1,£,1901,malta,belgium & holland,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,3109,1,£,1901,malta,france,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,22,1,£,1901,malta,algiers,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
MaltaBlueBook_1901_Q3,159,1,£,1901,malta,germany,exp,spe,,,,,,Value of exports from portion of cargoes which were actually landed at this port. Only articles subject to import duty.
