source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,788.0,1000,panamean balboa,1928,panama,germany,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,132.0,1000,panamean balboa,1928,panama,belgium,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,133.0,1000,panamean balboa,1928,panama,spain,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,517.0,1000,panamean balboa,1928,panama,france,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,152.0,1000,panamean balboa,1928,panama,italy,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,188.0,1000,panamean balboa,1928,panama,netherlands,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,1447.0,1000,panamean balboa,1928,panama,united kingdom,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,973.0,1000,panamean balboa,1928,panama,china,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,148.0,1000,panamean balboa,1928,panama,japan,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,10923.0,1000,panamean balboa,1928,panama,united states of america,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,69.0,1000,panamean balboa,1928,panama,jamaica,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,144.0,1000,panamean balboa,1928,panama,peru,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,568.0,1000,panamean balboa,1928,panama,autres,imp,gen,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,16182.0,1000,panamean balboa,1928,panama,world,imp,gen,S,,,,total_reporting,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,38.0,1000,panamean balboa,1928,panama,germany,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,,1000,panamean balboa,1928,panama,belgium,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,,1000,panamean balboa,1928,panama,spain,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,12.0,1000,panamean balboa,1928,panama,france,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,33.0,1000,panamean balboa,1928,panama,italy,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,34.0,1000,panamean balboa,1928,panama,netherlands,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,66.0,1000,panamean balboa,1928,panama,united kingdom,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,,1000,panamean balboa,1928,panama,china,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,21.0,1000,panamean balboa,1928,panama,japan,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,3768.0,1000,panamean balboa,1928,panama,united states of america,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,,1000,panamean balboa,1928,panama,jamaica,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,,1000,panamean balboa,1928,panama,peru,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,141.0,1000,panamean balboa,1928,panama,autres,exp,spe,S,,,,,
MémorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19271929_Vol3,4113.0,1000,panamean balboa,1928,panama,world,exp,spe,S,,,,total_reporting,
