source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,14169,1000,gulden,1921,indes néerlandaises,allemagne,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,797,1000,gulden,1921,indes néerlandaises,belgique,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,17051,1000,gulden,1921,indes néerlandaises,france,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,45070,1000,gulden,1921,indes néerlandaises,gibraltar et malte,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,17856,1000,gulden,1921,indes néerlandaises,italie,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,214169,1000,gulden,1921,indes néerlandaises,pays-bas,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,51813,1000,gulden,1921,indes néerlandaises,royaume-uni,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,358,1000,gulden,1921,indes néerlandaises,suède,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,82,1000,gulden,1921,indes néerlandaises,suisse,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,26967,1000,gulden,1921,indes néerlandaises,chine,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,2084,1000,gulden,1921,indes néerlandaises,"dalny, korea, wladiwostok",exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,111432,1000,gulden,1921,indes néerlandaises,hong kong,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,184510,1000,gulden,1921,indes néerlandaises,indes britanniques et pondichéry,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,3502,1000,gulden,1921,indes néerlandaises,indochine,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,109088,1000,gulden,1921,indes néerlandaises,japon et formose,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,13923,1000,gulden,1921,indes néerlandaises,penang,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,4508,1000,gulden,1921,indes néerlandaises,siam,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,180446,1000,gulden,1921,indes néerlandaises,singapore,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,29716,1000,gulden,1921,indes néerlandaises,australie et nouvelle-zélande et iles australiennes du pacifique,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
MmorandumSurLeCommerceInternationalEtSurLesBalancesDesPaiements_19121926_Ii_478479,37774,1000,gulden,1921,indes néerlandaises,egypte,exp,,NS,,,,,"Non compris ""Gouvernement"" et commerce du port franc de Bengkalis"
