source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,27566344,1,lira,1860,provincie napoletane,inghilterra,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,26883026,1,lira,1860,provincie napoletane,francia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,4715783,1,lira,1860,provincie napoletane,stati sardi,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,4574190,1,lira,1860,provincie napoletane,austria,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,4018749,1,lira,1860,provincie napoletane,olanda,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,3113848,1,lira,1860,provincie napoletane,russia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,2477850,1,lira,1860,provincie napoletane,grecia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,2147378,1,lira,1860,provincie napoletane,porto-franco di messina,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1901926,1,lira,1860,provincie napoletane,stati-uniti d'america,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1541420,1,lira,1860,provincie napoletane,stato pontificio,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1518159,1,lira,1860,provincie napoletane,turchia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1093941,1,lira,1860,provincie napoletane,toscana,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,647088,1,lira,1860,provincie napoletane,isole ionie,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,398590,1,lira,1860,provincie napoletane,tunisi,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,372882,1,lira,1860,provincie napoletane,belgio,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,235735,1,lira,1860,provincie napoletane,svezia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,229203,1,lira,1860,provincie napoletane,spagna,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,103309,1,lira,1860,provincie napoletane,algeria,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,68000,1,lira,1860,provincie napoletane,egitto,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,42793,1,lira,1860,provincie napoletane,sicilia,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,35182,1,lira,1860,provincie napoletane,cittá anseatiche,imp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,83685398,1,lira,1860,provincie napoletane,totale,imp,,,,,,total_reporting,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,15171811,1,lira,1860,provincie napoletane,inghilterra,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,15230500,1,lira,1860,provincie napoletane,francia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,7174557,1,lira,1860,provincie napoletane,stati sardi,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,8681683,1,lira,1860,provincie napoletane,austria,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1565003,1,lira,1860,provincie napoletane,olanda,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,433300,1,lira,1860,provincie napoletane,russia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,34166,1,lira,1860,provincie napoletane,grecia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,,1,lira,1860,provincie napoletane,porto-franco di messina,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,152209,1,lira,1860,provincie napoletane,stati-uniti d'america,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1451362,1,lira,1860,provincie napoletane,stato pontificio,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,31378,1,lira,1860,provincie napoletane,turchia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,1586856,1,lira,1860,provincie napoletane,toscana,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,341738,1,lira,1860,provincie napoletane,isole ionie,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,,1,lira,1860,provincie napoletane,tunisi,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,23519,1,lira,1860,provincie napoletane,belgio,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,,1,lira,1860,provincie napoletane,svezia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,88914,1,lira,1860,provincie napoletane,spagna,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,209138,1,lira,1860,provincie napoletane,algeria,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,11500,1,lira,1860,provincie napoletane,egitto,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,323642,1,lira,1860,provincie napoletane,sicilia,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,139935,1,lira,1860,provincie napoletane,cittá anseatiche,exp,,,,,,,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
MovimentoCommercialeDelProvincieDellItaliaSettentrionale_1860_216,52651214,1,lira,1860,provincie napoletane,totale,exp,,,,,,total_reporting,Appendice al Movimento commerciale delle Provincie dell'Italia Settentrionale
