source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,233815.0,1000,lire,1914,regno d'italia,austria-ungheria,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,55516.0,1000,lire,1914,regno d'italia,belgio,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,913.0,1000,lire,1914,regno d'italia,bulgaria,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,4970.0,1000,lire,1914,regno d'italia,danimarca,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,205535.0,1000,lire,1914,regno d'italia,francia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,503185.0,1000,lire,1914,regno d'italia,germania,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,,1000,lire,1914,regno d'italia,gibilterra,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,504934.0,1000,lire,1914,regno d'italia,gran bretagna e irlanda,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,14045.0,1000,lire,1914,regno d'italia,grecia e candia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,873.0,1000,lire,1914,regno d'italia,malta,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,543.0,1000,lire,1914,regno d'italia,montenegro,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,18943.0,1000,lire,1914,regno d'italia,norvegia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,16005.0,1000,lire,1914,regno d'italia,paesi bassi,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,6203.0,1000,lire,1914,regno d'italia,portogallo,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,65217.0,1000,lire,1914,regno d'italia,romania,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,189838.0,1000,lire,1914,regno d'italia,russia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,5956.0,1000,lire,1914,regno d'italia,serbia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,39213.0,1000,lire,1914,regno d'italia,spagna,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,3278.0,1000,lire,1914,regno d'italia,svezia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,76901.0,1000,lire,1914,regno d'italia,svizzera,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,9804.0,1000,lire,1914,regno d'italia,turchia europea,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,3369.0,1000,lire,1914,regno d'italia,albania,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,1166.0,1000,lire,1914,regno d'italia,aden,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,36022.0,1000,lire,1914,regno d'italia,cina,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,442.0,1000,lire,1914,regno d'italia,cipro,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,63.0,1000,lire,1914,regno d'italia,colonie francesi,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,964.0,1000,lire,1914,regno d'italia,filippine,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,46651.0,1000,lire,1914,regno d'italia,giappone,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,292.0,1000,lire,1914,regno d'italia,hong-kong,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,139349.0,1000,lire,1914,regno d'italia,india britannica e ceylon,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,4630.0,1000,lire,1914,regno d'italia,indie orientali olandesi,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,886.0,1000,lire,1914,regno d'italia,persia,Imp,Spe,NS,,,,,
MovimentoCommercialeDelRegnoDitalia_1914_Vol2_56,57.0,1000,lire,1914,regno d'italia,samos,Imp,Spe,NS,,,,,
