source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,826994,1000,zl,1933,république polonaise et ville libre de dantzig,ogólem,imp,spe,,,,,total_reporting,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2,1000,zl,1933,république polonaise et ville libre de dantzig,albanja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,83053,1000,zl,1933,république polonaise et ville libre de dantzig,anglja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,35170,1000,zl,1933,république polonaise et ville libre de dantzig,austrja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,29315,1000,zl,1933,république polonaise et ville libre de dantzig,belgja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2537,1000,zl,1933,république polonaise et ville libre de dantzig,bulgarja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,35628,1000,zl,1933,république polonaise et ville libre de dantzig,czecho-slowacja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,11409,1000,zl,1933,république polonaise et ville libre de dantzig,danja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1745,1000,zl,1933,république polonaise et ville libre de dantzig,estonja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1357,1000,zl,1933,république polonaise et ville libre de dantzig,finlandja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,56479,1000,zl,1933,république polonaise et ville libre de dantzig,francja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1814,1000,zl,1933,république polonaise et ville libre de dantzig,grecja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2849,1000,zl,1933,république polonaise et ville libre de dantzig,hiszpanja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,28699,1000,zl,1933,république polonaise et ville libre de dantzig,holandja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,263,1000,zl,1933,république polonaise et ville libre de dantzig,irlandja - wolne panstwo,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1425,1000,zl,1933,république polonaise et ville libre de dantzig,islandja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,6769,1000,zl,1933,république polonaise et ville libre de dantzig,jugoslawja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,148,1000,zl,1933,république polonaise et ville libre de dantzig,litwa,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1277,1000,zl,1933,république polonaise et ville libre de dantzig,lotwa,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,145694,1000,zl,1933,république polonaise et ville libre de dantzig,niemcy,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,8208,1000,zl,1933,république polonaise et ville libre de dantzig,norwegja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1835,1000,zl,1933,république polonaise et ville libre de dantzig,portugalja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,67,1000,zl,1933,république polonaise et ville libre de dantzig,posiadlości brytańskie na morzu śródziemnem,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,7556,1000,zl,1933,république polonaise et ville libre de dantzig,rumunja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,27045,1000,zl,1933,république polonaise et ville libre de dantzig,szwajcarja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,16937,1000,zl,1933,république polonaise et ville libre de dantzig,szwecja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1441,1000,zl,1933,république polonaise et ville libre de dantzig,turcja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,5713,1000,zl,1933,république polonaise et ville libre de dantzig,wegry,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,38255,1000,zl,1933,république polonaise et ville libre de dantzig,wlochy,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,17697,1000,zl,1933,république polonaise et ville libre de dantzig,zsrr,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1,1000,zl,1933,république polonaise et ville libre de dantzig,inne kraje (europa),imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,3,1000,zl,1933,république polonaise et ville libre de dantzig,afganistan,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2908,1000,zl,1933,république polonaise et ville libre de dantzig,cejlon,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1110,1000,zl,1933,république polonaise et ville libre de dantzig,chiny,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2,1000,zl,1933,république polonaise et ville libre de dantzig,filipiny,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,24188,1000,zl,1933,république polonaise et ville libre de dantzig,indie brytyjskie,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,9983,1000,zl,1933,république polonaise et ville libre de dantzig,indje holenderskie,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2442,1000,zl,1933,république polonaise et ville libre de dantzig,japonja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,9,1000,zl,1933,république polonaise et ville libre de dantzig,kolonje i posiadlósci francuskie,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,0,1000,zl,1933,république polonaise et ville libre de dantzig,kolonje portugalskie,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,5,1000,zl,1933,république polonaise et ville libre de dantzig,mezopotamja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,578,1000,zl,1933,république polonaise et ville libre de dantzig,palestyna,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,11,1000,zl,1933,république polonaise et ville libre de dantzig,kraje azji zachodniej oprócz oddzielnie wymienionych,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,228,1000,zl,1933,république polonaise et ville libre de dantzig,państwa pod protektoratem i kolonje brytanskie na malakka,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,0,1000,zl,1933,république polonaise et ville libre de dantzig,pozostale niewymienione kraje azji,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,331,1000,zl,1933,république polonaise et ville libre de dantzig,persja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1469,1000,zl,1933,république polonaise et ville libre de dantzig,sjam,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,0,1000,zl,1933,république polonaise et ville libre de dantzig,syrja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,66,1000,zl,1933,république polonaise et ville libre de dantzig,abisynja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1402,1000,zl,1933,république polonaise et ville libre de dantzig,afryka pólnocna francuska,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,10142,1000,zl,1933,république polonaise et ville libre de dantzig,egipt,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,230,1000,zl,1933,république polonaise et ville libre de dantzig,kolonje i mandaty belgijskie,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,22,1000,zl,1933,république polonaise et ville libre de dantzig,liberja,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,18,1000,zl,1933,république polonaise et ville libre de dantzig,tanger-marokko,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,2668,1000,zl,1933,république polonaise et ville libre de dantzig,zwiazek poludniowo-afrykański,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,95,1000,zl,1933,république polonaise et ville libre de dantzig,pólnocnej,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,736,1000,zl,1933,république polonaise et ville libre de dantzig,równikowo-wschodniej,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,11986,1000,zl,1933,république polonaise et ville libre de dantzig,równikowo-zachodniej,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,287,1000,zl,1933,république polonaise et ville libre de dantzig,poludniowej,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,221,1000,zl,1933,république polonaise et ville libre de dantzig,kanada,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,109863,1000,zl,1933,république polonaise et ville libre de dantzig,stany zjednoczone,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,17,1000,zl,1933,république polonaise et ville libre de dantzig,kraje ameryki pólnocnej oddzielnie niewymienione,imp,spe,,,,,,
RocznikHandluZagranicznegoRzeczypospolitejPolskiejIWolnegoMiastaGdanska_1934_1011,1073,1000,zl,1933,république polonaise et ville libre de dantzig,meksyk,imp,spe,,,,,,
