source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
SierraLeoneBlueBook_1851_170171,85563,1,£,1851,sierra leone,united kingdom,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,4,1,£,1851,sierra leone,british west indies,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,1848,1,£,1851,sierra leone,other british colonies,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,14600,1,£,1851,sierra leone,united states of america,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,1462,1,£,1851,sierra leone,other foreign countries,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,103478,1,£,1851,sierra leone,total,imp,gen,,,,,total_reporting,
SierraLeoneBlueBook_1851_178179,43068,1,£,1851,sierra leone,united kingdom,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,12883,1,£,1851,sierra leone,other british colonies,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,13351,1,£,1851,sierra leone,united states of america,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,11065,1,£,1851,sierra leone,other foreign countries,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,80367,1,£,1851,sierra leone,total,exp,gen,,,,,total_reporting,
SierraLeoneBlueBook_1851_170171,74813,1,£,1850,sierra leone,united kingdom,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,2584,1,£,1850,sierra leone,british west indies,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,3511,1,£,1850,sierra leone,other british colonies,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,14126,1,£,1850,sierra leone,united states of america,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,2857,1,£,1850,sierra leone,other foreign countries,imp,gen,,,,,,
SierraLeoneBlueBook_1851_170171,97892,1,£,1850,sierra leone,total,imp,gen,,,,,total_reporting,
SierraLeoneBlueBook_1851_178179,42924,1,£,1850,sierra leone,united kingdom,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,24741,1,£,1850,sierra leone,other british colonies,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,26975,1,£,1850,sierra leone,united states of america,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,20501,1,£,1850,sierra leone,other foreign countries,exp,gen,,,,,,
SierraLeoneBlueBook_1851_178179,115142,1,£,1850,sierra leone,total,exp,gen,,,,,total_reporting,
