source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,,1,livre sterling,1885,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,,1,livre sterling,1886,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,,1,livre sterling,1887,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1945.0,1,livre sterling,1888,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1611.0,1,livre sterling,1889,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,929.0,1,livre sterling,1890,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2054.0,1,livre sterling,1891,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1147.0,1,livre sterling,1892,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2207.0,1,livre sterling,1893,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,5987.0,1,livre sterling,1894,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,,1,livre sterling,1895,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,6.0,1,livre sterling,1896,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1.0,1,livre sterling,1897,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,8.0,1,livre sterling,1898,barbados,argentine republic,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,4375.0,1,livre sterling,1885,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,5349.0,1,livre sterling,1886,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2234.0,1,livre sterling,1887,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,8690.0,1,livre sterling,1888,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,6281.0,1,livre sterling,1889,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,8582.0,1,livre sterling,1890,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,10320.0,1,livre sterling,1891,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,8757.0,1,livre sterling,1892,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,5846.0,1,livre sterling,1893,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,7982.0,1,livre sterling,1894,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,8773.0,1,livre sterling,1895,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,5729.0,1,livre sterling,1896,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,10310.0,1,livre sterling,1897,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,6750.0,1,livre sterling,1898,barbados,dutch guiana,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1445.0,1,livre sterling,1885,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,791.0,1,livre sterling,1886,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2032.0,1,livre sterling,1887,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1591.0,1,livre sterling,1888,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1140.0,1,livre sterling,1889,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2091.0,1,livre sterling,1890,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2368.0,1,livre sterling,1891,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,4659.0,1,livre sterling,1892,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2684.0,1,livre sterling,1893,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1492.0,1,livre sterling,1894,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,2699.0,1,livre sterling,1895,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1315.0,1,livre sterling,1896,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1512.0,1,livre sterling,1897,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,1125.0,1,livre sterling,1898,barbados,dutch guiana,imp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,10120.0,1,livre sterling,1885,barbados,foreign west indies,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,7268.0,1,livre sterling,1886,barbados,foreign west indies,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,12661.0,1,livre sterling,1887,barbados,foreign west indies,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,22387.0,1,livre sterling,1888,barbados,foreign west indies,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,6445.0,1,livre sterling,1889,barbados,foreign west indies,exp,?,S,,,,,
StatisticalAbstractForTheSeveralColonialAndOtherPossessionsOfTheUnitedKingdom_18851899_Vol37,9260.0,1,livre sterling,1890,barbados,foreign west indies,exp,?,S,,,,,
