source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,8823793,1,£,1907,cape colony,united kingdom,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,233508,1,£,1907,cape colony,bengal,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,6674,1,£,1907,cape colony,bombay,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,13472,1,£,1907,cape colony,burma,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,1084,1,£,1907,cape colony,madras,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,63937,1,£,1907,cape colony,ceylon,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,5885,1,£,1907,cape colony,hong kong,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,7369,1,£,1907,cape colony,straits settlements,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,302177,1,£,1907,cape colony,mauritius,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,181596,1,£,1907,cape colony,dominion of canada,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,2632,1,£,1907,cape colony,british west india islands,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,140020,1,£,1907,cape colony,new south wales,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,77623,1,£,1907,cape colony,queensland,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,486392,1,£,1907,cape colony,south australia,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,2662,1,£,1907,cape colony,tasmania,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,336418,1,£,1907,cape colony,victoria,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,22923,1,£,1907,cape colony,west australia,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,10963,1,£,1907,cape colony,new zealand,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,2792,1,£,1907,cape colony,other parts of the british empire,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,66704,1,£,1907,cape colony,austria-hungary,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,153308,1,£,1907,cape colony,belgium,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,22123,1,£,1907,cape colony,denmark,imp,,NS,,,,,
StatisticalRegisterOfTheProvinceOfTheCapeOfGoodHope_1909_Xiii3,259277,1,£,1907,cape colony,france,imp,,NS,,,,,
