source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
"StatistiekHandelNederlanden_1927_Vol2_69",267408,1000,florin,1927,nederland,belgië,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",402,1000,florin,1927,nederland,bulgarije,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",1499,1000,florin,1927,nederland,britsche bezitt. midd. zee,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",5365,1000,florin,1927,nederland,denemarken,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",654153,1000,florin,1927,nederland,duitschland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",2932,1000,florin,1927,nederland,estland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",38178,1000,florin,1927,nederland,finland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",124036,1000,florin,1927,nederland,frankrijk,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",8245,1000,florin,1927,nederland,griekenland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",246199,1000,florin,1927,nederland,groot-britannië,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",585,1000,florin,1927,nederland,hongarije,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",5257,1000,florin,1927,nederland,noord-ierland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",710,1000,florin,1927,nederland,iersche vrijstaat,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",19663,1000,florin,1927,nederland,italië en fiume,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",821,1000,florin,1927,nederland,joego-slavië,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",8357,1000,florin,1927,nederland,letland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",1151,1000,florin,1927,nederland,litauen en memel,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",2999,1000,florin,1927,nederland,luxemburg,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",9724,1000,florin,1927,nederland,noorwegen,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",6875,1000,florin,1927,nederland,oostenrijk,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",31995,1000,florin,1927,nederland,polen en danzig,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",5220,1000,florin,1927,nederland,portugal,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",15324,1000,florin,1927,nederland,roemenië,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",29139,1000,florin,1927,nederland,rusland in europa,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",17744,1000,florin,1927,nederland,spanje,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",18534,1000,florin,1927,nederland,tsjechoslowakije,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",1900,1000,florin,1927,nederland,turkije in europa,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",50,1000,florin,1927,nederland,ijsland,Imp,Spe,,,,,,
"StatistiekHandelNederlanden_1927_Vol2_69",35743,1000,florin,1927,nederland,zweden,Imp,Spe,,,,,,
