source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,640421.0,1,guld,1884,netherlands,africa (east coast),imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,6071742.0,1,guld,1884,netherlands,africa (west coast),imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,406241.0,1,guld,1884,netherlands,algeria,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,91164.0,1,guld,1884,netherlands,antilla,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,400660.0,1,guld,1884,netherlands,australia,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,3973.0,1,guld,1884,netherlands,azoren,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,,1,guld,1884,netherlands,barbarian states,imp,spe (consumption only),,,,,,Pas de données
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,146325537.0,1,guld,1884,netherlands,belgium,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,3460.0,1,guld,1884,netherlands,brazil,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,531133.0,1,guld,1884,netherlands,bremen,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,43000.0,1,guld,1884,netherlands,central america,imp,spe (consumption only),,,,,,
StatistiekVanDenHandelEnDeScheepvaartInHetKoninkrijkDerNederlanden_1884,,1,guld,1884,netherlands,chili,imp,spe (consumption only),,,,,,Pas de données
