source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,232108,1,gulden,1859,nederlanden,australië,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,42247648,1,gulden,1859,nederlanden,belgië,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,1113631,1,gulden,1859,nederlanden,brazilië,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,2148037,1,gulden,1859,nederlanden,bremen,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,115920,1,gulden,1859,nederlanden,centraal amerika,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,126086,1,gulden,1859,nederlanden,chili,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,1060668,1,gulden,1859,nederlanden,china,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,748230,1,gulden,1859,nederlanden,cuba,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,118865,1,gulden,1859,nederlanden,curaçao,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,3423480,1,gulden,1859,nederlanden,denemarken,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,20927,1,gulden,1859,nederlanden,donau-vorstendommen,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,126102,1,gulden,1859,nederlanden,egijpte,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,1716493,1,gulden,1859,nederlanden,engelsche oost indische bezittingen,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,14698803,1,gulden,1859,nederlanden,frankrijk,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,2091,1,gulden,1859,nederlanden,gibraltar,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,48182,1,gulden,1859,nederlanden,griekenland,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,14980,1,gulden,1859,nederlanden,groenland,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,56313480,1,gulden,1859,nederlanden,groot brittanje,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,154612,1,gulden,1859,nederlanden,haïti,imp,spe (invoer tot verbruik),,,,,,
StatistiekVanDenHandelEnDeScheepvaartVanHetKoningrijkDerNederlanden_1860_410,2928081,1,gulden,1859,nederlanden,hamburg,imp,spe (invoer tot verbruik),,,,,,
