source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,179863,1,dinars,1933,yugoslavia,abyssinie,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,1257,1,dinars,1933,yugoslavia,aden,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,313979,1,dinars,1933,yugoslavia,albanija,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,379244543,1,dinars,1933,yugoslavia,allemagne,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,463344303,1,dinars,1933,yugoslavia,austria,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,25567772,1,dinars,1933,yugoslavia,belgique,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,1057642,1,dinars,1933,yugoslavia,bugarska,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,280414203,1,dinars,1933,yugoslavia,velika britanija,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,40152414,1,dinars,1933,yugoslavia,greka,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,2055009,1,dinars,1933,yugoslavia,danska,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,12256,1,dinars,1933,yugoslavia,danzig,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,263542,1,dinars,1933,yugoslavia,esthonie,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,100420,1,dinars,1933,yugoslavia,irska,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,458788724,1,dinars,1933,yugoslavia,italija,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,1026964,1,dinars,1933,yugoslavia,lettonie,imp,,,,,,,
StatistiqueDuCommerceExterieurDuRoyaumeDeYougoslavie_1934_Xxviiixxxii,34137,1,dinars,1933,yugoslavia,lithuanie,imp,,,,,,,
