source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,1055239249,1,fr,1927,congo belge,totaux,exp,spe,,,,,total_reporting,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,523822777,1,fr,1927,congo belge,belgique,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,224223840,1,fr,1927,congo belge,mozambique,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,117699671,1,fr,1927,congo belge,territoire du tanganyika,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,102642347,1,fr,1927,congo belge,union sud-africaine,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,45849446,1,fr,1927,congo belge,etats-unis d'amérique,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,21565159,1,fr,1927,congo belge,afrique equatoriale française,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,7082089,1,fr,1927,congo belge,angola,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,4882132,1,fr,1927,congo belge,allemagne,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,2798155,1,fr,1927,congo belge,rhodésie,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,2645389,1,fr,1927,congo belge,angleterre,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,850145,1,fr,1927,congo belge,italie,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,381941,1,fr,1927,congo belge,uganda,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,254885,1,fr,1927,congo belge,soudan,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,250791,1,fr,1927,congo belge,portugal,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,213214,1,fr,1927,congo belge,france,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,56700,1,fr,1927,congo belge,pologne,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,13360,1,fr,1927,congo belge,suisse,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,6160,1,fr,1927,congo belge,roumanie,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,4215,1,fr,1927,congo belge,grèce,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,780,1,fr,1927,congo belge,suède,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,523,1,fr,1927,congo belge,norvège,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,230,1,fr,1927,congo belge,egypte,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,140,1,fr,1927,congo belge,danemark,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,100,1,fr,1927,congo belge,grand duché de luxembourg,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_64,60,1,fr,1927,congo belge,sénégal,exp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1496358868,1,fr,1927,congo belge,totaux,imp,spe,,,,,total_reporting,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,820007470,1,fr,1927,congo belge,belgique,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,114165967,1,fr,1927,congo belge,angleterre,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,108551643,1,fr,1927,congo belge,rhodésie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,75617621,1,fr,1927,congo belge,france,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,87507263,1,fr,1927,congo belge,etats-unis d'amérique,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,70672500,1,fr,1927,congo belge,allemagne,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,75755919,1,fr,1927,congo belge,union sud-africaine,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,26492894,1,fr,1927,congo belge,angola,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1647107,1,fr,1927,congo belge,afrique equatoriale française,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,25375328,1,fr,1927,congo belge,pays-bas,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,14996567,1,fr,1927,congo belge,grand duché de luxembourg,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,13349452,1,fr,1927,congo belge,italie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,10932830,1,fr,1927,congo belge,suisse,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,8945690,1,fr,1927,congo belge,uganda,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,4633618,1,fr,1927,congo belge,cap vert,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,7597949,1,fr,1927,congo belge,mozambique,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,5386824,1,fr,1927,congo belge,territoire du tanganyika,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,6080939,1,fr,1927,congo belge,soudan,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,5311377,1,fr,1927,congo belge,portugal,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,3139128,1,fr,1927,congo belge,indes anglaises,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1970368,1,fr,1927,congo belge,tchécoslovaquie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1534262,1,fr,1927,congo belge,norvège,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1260134,1,fr,1927,congo belge,suède,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,942234,1,fr,1927,congo belge,danemark,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,687785,1,fr,1927,congo belge,canada,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,662377,1,fr,1927,congo belge,egypte,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,695921,1,fr,1927,congo belge,japon,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,310583,1,fr,1927,congo belge,espagne,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,351349,1,fr,1927,congo belge,australie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,348821,1,fr,1927,congo belge,finlande,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,288172,1,fr,1927,congo belge,zanzibar,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,268701,1,fr,1927,congo belge,dahomey,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,144816,1,fr,1927,congo belge,tunisie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,139686,1,fr,1927,congo belge,autriche,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,83853,1,fr,1927,congo belge,algérie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,138203,1,fr,1927,congo belge,grèce,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,75276,1,fr,1927,congo belge,sénégal,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,60246,1,fr,1927,congo belge,argentine,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,54400,1,fr,1927,congo belge,arabie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,44146,1,fr,1927,congo belge,chine,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,35913,1,fr,1927,congo belge,brésil,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,26610,1,fr,1927,congo belge,pologne,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,26328,1,fr,1927,congo belge,indes néerlandaises,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,19749,1,fr,1927,congo belge,turquie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,10990,1,fr,1927,congo belge,colombie britannique,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,4400,1,fr,1927,congo belge,lettonie,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,3300,1,fr,1927,congo belge,chypre,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,2008,1,fr,1927,congo belge,cuba,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,160,1,fr,1927,congo belge,palestine,imp,spe,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,1697367762,1,fr,1927,congo belge,totaux,imp,gen,,,,,total_reporting,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,846559937,1,fr,1927,congo belge,belgique,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,123902549,1,fr,1927,congo belge,angleterre,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,121697698,1,fr,1927,congo belge,rhodésie,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,101286049,1,fr,1927,congo belge,france,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,100303034,1,fr,1927,congo belge,etats-unis d'amérique,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,77664495,1,fr,1927,congo belge,allemagne,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,76172348,1,fr,1927,congo belge,union sud-africaine,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,71012884,1,fr,1927,congo belge,angola,imp,gen,,,,,,
StatistiqueDuCommerceExtrieurDuCongoBelge_1927_254255,57194480,1,fr,1927,congo belge,afrique equatoriale française,imp,gen,,,,,,
