source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
StraitsSettlementsBlueBook_1875_270271,1842272,1,£,1875,singapore,united kingdom,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,377967,1,£,1875,penang,united kingdom,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,69331,1,£,1875,singapore,australia,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,355963,1,£,1875,singapore,british burma,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,1015797,1,£,1875,singapore,british india,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,7112,1,£,1875,singapore,ceylon,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,319,1,£,1875,singapore,gibraltar,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,712989,1,£,1875,singapore,hongkong,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,66864,1,£,1875,singapore,labuan,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,2089,1,£,1875,singapore,mauritius,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,291554,1,£,1875,penang,british burma,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,413177,1,£,1875,penang,british india,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,74,1,£,1875,penang,ceylon,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,353509,1,£,1875,penang,hongkong,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,1036495,1,£,1875,singapore,penang & malacca,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,413488,1,£,1875,penang,singapore & malacca,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,130668,1,£,1875,malacca,singapore & penang,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,18932,1,£,1875,singapore,america,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,14029,1,£,1875,singapore,arabia,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,2146,1,£,1875,singapore,austria-hungary,imp,gen,,,,,,
StraitsSettlementsBlueBook_1875_270271,238413,1,£,1875,singapore,china,imp,gen,,,,,,
