source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
SverigesOfficiellaStatistikHandel_1927_112,98188213,1,kronor,1927,sweden,danmark,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,189739,1,kronor,1927,sweden,färöarna,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,45935060,1,kronor,1927,sweden,finland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1218791,1,kronor,1927,sweden,iceland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,77578544,1,kronor,1927,sweden,norge,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,143,1,kronor,1927,sweden,spetsbergen,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,42305112,1,kronor,1927,sweden,belgien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1215626,1,kronor,1927,sweden,bulgarien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,5019876,1,kronor,1927,sweden,eire,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,67064214,1,kronor,1927,sweden,frankrike,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,4689182,1,kronor,1927,sweden,grekland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,21658629,1,kronor,1927,sweden,italien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,691620,1,kronor,1927,sweden,jugoslavien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,139953,1,kronor,1927,sweden,luxemburg,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,58733101,1,kronor,1927,sweden,nederländerna,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,16648893,1,kronor,1927,sweden,polen,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,3836192,1,kronor,1927,sweden,dantzig,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2952673,1,kronor,1927,sweden,portugal,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,37994,1,kronor,1927,sweden,malta,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,4936606,1,kronor,1927,sweden,estland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,5492144,1,kronor,1927,sweden,lettland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1975363,1,kronor,1927,sweden,litauen,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2695743,1,kronor,1927,sweden,rumanien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,6033060,1,kronor,1927,sweden,schweiz,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,27277712,1,kronor,1927,sweden,"sovjetunionen, europeiska",exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,34311384,1,kronor,1927,sweden,spanien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,445483815,1,kronor,1927,sweden,storbritannien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2208135,1,kronor,1927,sweden,norra irland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,14210074,1,kronor,1927,sweden,tjeckoslovak,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1751704,1,kronor,1927,sweden,"turkiet, europeiska",exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,270913502,1,kronor,1927,sweden,tyskland,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1084508,1,kronor,1927,sweden,ungern,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,4631419,1,kronor,1927,sweden,österrike,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,25354,1,kronor,1927,sweden,ovriga europa,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2367264,1,kronor,1927,sweden,algeriet,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,18330749,1,kronor,1927,sweden,britt. sydafrika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,5872018,1,kronor,1927,sweden,egypten,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,843070,1,kronor,1927,sweden,marocko,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2200073,1,kronor,1927,sweden,kanarieoarna,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,78401,1,kronor,1927,sweden,franska västafrika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,100276,1,kronor,1927,sweden,belgiska kongo,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,136444,1,kronor,1927,sweden,portugisiska ostafrika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,140765,1,kronor,1927,sweden,madagaskar och reunion,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,95560,1,kronor,1927,sweden,tripolis,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,919825,1,kronor,1927,sweden,tunisien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1272959,1,kronor,1927,sweden,övriga afrika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,20094568,1,kronor,1927,sweden,argentina,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,9312957,1,kronor,1927,sweden,brasilien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2371073,1,kronor,1927,sweden,chile,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2230170,1,kronor,1927,sweden,colombia,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,3231082,1,kronor,1927,sweden,cuba,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,610118,1,kronor,1927,sweden,ovr. vastind. oar,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,6315119,1,kronor,1927,sweden,britt. nordamerica,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,175479612,1,kronor,1927,sweden,forenta staterna,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,4189737,1,kronor,1927,sweden,mexico,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,739403,1,kronor,1927,sweden,centralamerika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1131097,1,kronor,1927,sweden,peru,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,2111252,1,kronor,1927,sweden,uruguay,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,490653,1,kronor,1927,sweden,venezuela,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,233063,1,kronor,1927,sweden,bolivia,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,494486,1,kronor,1927,sweden,ecuador,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,143187,1,kronor,1927,sweden,övriga sydamerika,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,42235,1,kronor,1927,sweden,cypern,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,4629563,1,kronor,1927,sweden,"turkiet, asiatika",exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,1065132,1,kronor,1927,sweden,filippinerna,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,10706687,1,kronor,1927,sweden,"indien, forutv. br.",exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,158771,1,kronor,1927,sweden,franska ostindien,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,118878,1,kronor,1927,sweden,iran,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,16264070,1,kronor,1927,sweden,japan,exp,,,,,,,
SverigesOfficiellaStatistikHandel_1927_112,9899322,1,kronor,1927,sweden,kina,exp,,,,,,,
