source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,17001000,1,kronor,1881,sverige,norge,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,288000,1,kronor,1881,sverige,nordsjön och ishafvet samt närligande länder,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,6573000,1,kronor,1881,sverige,finland,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,18677000,1,kronor,1881,sverige,ryssland,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,51566000,1,kronor,1881,sverige,danmark,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,23094000,1,kronor,1881,sverige,preussen,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,53694000,1,kronor,1881,sverige,"mecklenburg, hansestäderna och oldenburg",imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,7655000,1,kronor,1881,sverige,nederländerna,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,8545000,1,kronor,1881,sverige,belgien,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,73763000,1,kronor,1881,sverige,stor-britannien och irland,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,7783000,1,kronor,1881,sverige,frankrike,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,1275000,1,kronor,1881,sverige,portugal,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,2105000,1,kronor,1881,sverige,spanien,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,15000,1,kronor,1881,sverige,gibraltar och malta,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,914000,1,kronor,1881,sverige,italien,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,44000,1,kronor,1881,sverige,österrike,imp,,,,,,,
SverigesOfficiellaStatistikUtrikesHandel_1881_218219,54000,1,kronor,1881,sverige,turkiet,imp,,,,,,,
