source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,561130,1,banco mark,1868,hamburg,den sandwich inseln,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,623370,1,banco mark,1868,hamburg,den schiffer-inseln,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,2187620,1,banco mark,1868,hamburg,china,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,82300,1,banco mark,1868,hamburg,den philippen,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,734630,1,banco mark,1868,hamburg,niederländisch ostindien,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,3720320,1,banco mark,1868,hamburg,britisch ost-indien,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,644320,1,banco mark,1868,hamburg,britisch ost-indien singapore,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,319470,1,banco mark,1868,hamburg,französisch ostindien,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,349530,1,banco mark,1868,hamburg,siam (bangkok),imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,800070,1,banco mark,1868,hamburg,afrika's ostküste,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,5288940,1,banco mark,1868,hamburg,amerika's westküste,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,1077560,1,banco mark,1868,hamburg,argentina,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,705680,1,banco mark,1868,hamburg,uruguay,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,16962950,1,banco mark,1868,hamburg,brasilien,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,51910,1,banco mark,1868,hamburg,britisch guayana,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,6904290,1,banco mark,1868,hamburg,venezuela,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,34300,1,banco mark,1868,hamburg,(neu-granada) columbia,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,95070,1,banco mark,1868,hamburg,st. thomas,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,1230790,1,banco mark,1868,hamburg,portorico,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,4101420,1,banco mark,1868,hamburg,hayti,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,4898810,1,banco mark,1868,hamburg,cuba,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,150430,1,banco mark,1868,hamburg,jamaica,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,17110,1,banco mark,1868,hamburg,curaçao,imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,7790,1,banco mark,1868,hamburg,britisch honduras (belize),imp,,,,,,,
TabellarischeUebersichtenDesHamburgischenHandels_1868_5,937810,1,banco mark,1868,hamburg,mexico's ostküste,imp,,,,,,,
