source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,147240413,1,dollar,1912,canada,royaume-uni,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,65,1,dollar,1912,canada,aden,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,526517,1,dollar,1912,canada,bermudes,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,22172,1,dollar,1912,canada,afrique anglaise est,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,54721,1,dollar,1912,canada,afrique anglaise sud,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,2411252,1,dollar,1912,canada,afrique anglaise ouest,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,156335,1,dollar,1912,canada,inde anglaise,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,131647,1,dollar,1912,canada,etablissements anglais du détroit,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,19675,1,dollar,1912,canada,indes orientales anglaises et autres,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,576365,1,dollar,1912,canada,chine anglaise,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,9063,1,dollar,1912,canada,guyane anglaise,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,3967748,1,dollar,1912,canada,honduras anglais,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,3924023,1,dollar,1912,canada,antilles anglaises,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,1330762,1,dollar,1912,canada,"océanie anglaise, australie et tasmanie",Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,125615,1,dollar,1912,canada,"océanie anglaise, nouvelle-zélande",Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,,1,dollar,1912,canada,"océanie anglaise, toutes autres",Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,24613,1,dollar,1912,canada,iles falkland,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,564729,1,dollar,1912,canada,gibraltar,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,24684,1,dollar,1912,canada,hong-kong,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,,1,dollar,1912,canada,malte,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,4131602,1,dollar,1912,canada,terre-neuve et labrador,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,335887,1,dollar,1912,canada,alaska,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,2975908,1,dollar,1912,canada,argentina,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,55662,1,dollar,1912,canada,autriche-hongrie,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,17191,1,dollar,1912,canada,iles açores et madère,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,2851044,1,dollar,1912,canada,belgique,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,2855,1,dollar,1912,canada,bolivie,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,760910,1,dollar,1912,canada,brésil,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,6607,1,dollar,1912,canada,iles canaries,Exp,Spe,,,0001-03-31,,,
TableauDesImportationsExportationsEtNavigationDuCanada_1912_202203,85372,1,dollar,1912,canada,costa rica,Exp,Spe,,,0001-03-31,,,
