source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,193048667,1,rial,1934,iran,urss,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,94809530,1,rial,1934,iran,grande-bretagne et irlande,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,66587953,1,rial,1934,iran,etats-unis d’amérique,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,55838258,1,rial,1934,iran,indes anglaises,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,59254024,1,rial,1934,iran,allemagne,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,54825250,1,rial,1934,iran,japon et corée et formose,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,28842090,1,rial,1934,iran,union économique belgo-luxembourgeoise,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,765523,1,rial,1934,iran,iraq,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,22483139,1,rial,1934,iran,tchécoslovaquie,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
TableauGnralDesImportationsEtDesExportationsDeLiranAvecLesPaysTrangers_19341935,19431895,1,rial,1934,iran,france,imp,,,,12 mois à partir du 21 juin de l’année,,,"1 Rial = 74,63 Livre sterling. Non compris les imports en franchise de droits douaniers"
