source,flow,unit,currency,year,reporting,partner,export_import,special_general,species_bullions,transport_type,statistical_period,partner_sum,world_trade_type,notes
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,40734260.0,1,dollar,1876,canada,grande-bretagne,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,46064984.0,1,dollar,1876,canada,etats-unis,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,1840877.0,1,dollar,1876,canada,france,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,482587.0,1,dollar,1876,canada,allemagne,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,267079.0,1,dollar,1876,canada,hollande,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,361055.0,1,dollar,1876,canada,belgique,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,436034.0,1,dollar,1876,canada,espagne,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,71655.0,1,dollar,1876,canada,portugal,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,437.0,1,dollar,1876,canada,danemark,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,56168.0,1,dollar,1876,canada,suisse,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,14270.0,1,dollar,1876,canada,autriche,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,40412.0,1,dollar,1876,canada,italie,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,1631.0,1,dollar,1876,canada,norvège et suède,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,328462.0,1,dollar,1876,canada,chine,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,619777.0,1,dollar,1876,canada,japan,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,42371.0,1,dollar,1876,canada,grèce,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,32460.0,1,dollar,1876,canada,asie,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,290359.0,1,dollar,1876,canada,afrique,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,286283.0,1,dollar,1876,canada,brésil,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,114906.0,1,dollar,1876,canada,guyane anglaise,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,868846.0,1,dollar,1876,canada,antilles anglaises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,631140.0,1,dollar,1876,canada,antilles espagnoles,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,47158.0,1,dollar,1876,canada,antilles françaises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,13514.0,1,dollar,1876,canada,antilles danoises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,55455.0,1,dollar,1876,canada,antilles hollandaises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,4644.0,1,dollar,1876,canada,indes orientales anglaises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,118969.0,1,dollar,1876,canada,indes orientales hollandaises,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,50.0,1,dollar,1876,canada,australie,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,774586.0,1,dollar,1876,canada,terreneuve,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,42828.0,1,dollar,1876,canada,russie,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,1270.0,1,dollar,1876,canada,amérique du sud,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,19884.0,1,dollar,1876,canada,saint-pierre et miquelon,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,55165.0,1,dollar,1876,canada,iles sandwich,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,1731.0,1,dollar,1876,canada,turquie,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,3382.0,1,dollar,1876,canada,madère,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,3480.0,1,dollar,1876,canada,haiti,Imp,Spe,NS,,0001-06-30,,,
TableauxDuCommerceEtDeLaNavigationDuCanada_1876_297,94728169.0,1,dollar,1876,canada,total,Imp,Spe,NS,,0001-06-30,,total_reporting,
